view_date,ABEV3
2025-06-02,-0.006046554772183299
2025-06-03,-0.050482140854001045
2025-06-04,0.0030077453702688217
2025-06-05,0.0029249510262161493
2025-06-06,-0.013046824838966131
2025-06-09,-0.0067103407345712185
2025-06-10,-0.00793832866474986
2025-06-11,-0.004640412633307278
2025-06-12,-0.03663359396159649
2025-06-13,0.015173080377280712
2025-06-16,-0.01928558573126793
2025-06-17,-0.005166869843378663
2025-06-18,0.004590179538354278
2025-06-20,-0.0007524221437051892
2025-06-23,-0.010242913383990526
2025-06-24,-0.009308949345722795
2025-06-25,0.013368166117652435
2025-06-26,-0.019896046724170446
2025-06-27,-0.018359768204391003
2025-06-30,-0.017877642530947924
2025-07-01,-0.0009609399712644517
2025-07-02,0.01788155548274517
2025-07-03,0.029651720076799393
2025-07-04,0.009435338402327034
2025-07-07,-0.01716065872780746
2025-07-08,0.00033977668499574065
2025-07-09,-0.0128602827899158
2025-07-10,0.013586897403001785
2025-07-11,-0.02515365555882454
2025-07-14,-0.02068469300866127
2025-07-15,0.004237721557728946
2025-07-16,-0.007827301385315458
2025-07-17,0.014605262316763401
2025-07-18,0.006960049504414201
2025-07-21,0.0012646259863686282
2025-07-22,-0.008097800659015775
2025-07-23,0.004108245251700282
2025-07-24,-0.018092382699251175
2025-07-25,-0.0071145405527204275
2025-07-28,-0.0018974095000885427
2025-07-29,-0.01737452857196331
2025-07-30,-0.016818554140627384
2025-07-31,0.0008079224148121273
2025-08-01,-0.024203013628721237
2025-08-04,-0.026996073313057423
2025-08-05,-0.021879096049815416
2025-08-06,-0.00023912618053145707
2025-08-07,-9.371744235977305e-06
2025-08-08,0.021145845763385296
2025-08-11,0.014045074582099915
2025-08-12,0.014652085024863482
2025-08-13,-0.0028675341163761914
2025-08-14,-0.007417139830067754
2025-08-15,-0.006640170933678746
2025-08-18,-0.010647474322468042
2025-08-19,-0.0020005954525549896
2025-08-20,0.00789845285442425
2025-08-21,0.022654172033071518
2025-08-22,-0.01758719002828002
2025-08-25,0.010861714370548725
2025-08-26,0.06065670707845129
2025-08-27,-0.013482105452567339
2025-08-28,0.02784726954996586
2025-08-29,-0.017597777768969536
2025-09-01,0.013880065192861366
2025-09-02,-0.020230965223163366
2025-09-03,0.01780321700585773
2025-09-04,-0.021333024552150165
2025-09-05,0.0035719634033739567
2025-09-08,0.002746842219494283
2025-09-09,0.010178255382925272
2025-09-10,-0.013933795038610697
2025-09-11,0.010631943354383111
2025-09-12,-0.0021544742630794644
2025-09-15,0.02387057337909937
2025-09-16,0.028882434591650963
2025-09-17,-0.006883405381813645
2025-09-18,0.01793594006448984
2025-09-19,-0.01705488609150052
2025-09-22,-0.017798301471411832
2025-09-23,-0.012359362095594406
2025-09-24,-0.012912061996757984
2025-09-25,-0.017383025027811527
2025-09-26,-0.00802484666928649
2025-09-29,-0.0075268568654428235
2025-09-30,-0.009947460887561432
2025-10-01,-0.01927549671381712
2025-10-02,-0.012780366132210475
2025-10-03,0.0004814058312331325
2025-10-06,-0.016697899936453944
2025-10-07,-0.007278836332261562
2025-10-08,-0.004459071205928922
2025-10-09,0.00215645565505838
2025-10-10,0.004543747448769864
2025-10-13,0.0015604062977945432
2025-10-14,0.005353947635740042
2025-10-15,-0.0006368793547153473
2025-10-16,0.00907042482867837
2025-10-17,-0.025860643945634365
2025-10-20,0.02745798323303461
2025-10-21,0.009737984742969275
2025-10-22,0.005396363558247685
2025-10-23,-0.0038959952630102635
2025-10-24,-0.018498121295124292
2025-10-27,-0.016529687214642763
2025-10-28,-0.017824940136051737
2025-10-29,-0.01266678236424923
2025-10-30,-0.004583302174529585
2025-10-31,0.021724313430968322
2025-11-03,0.001060962793417275
2025-11-04,0.018246293999254704
2025-11-05,-0.019746662665129408
2025-11-06,-0.008663822896778584
2025-11-07,-0.018911366158135934
2025-11-10,-0.01597866031952435
2025-11-11,0.007311207242310047
2025-11-12,-0.00490936660207808
2025-11-13,0.010138648096472025
2025-11-14,0.0037319320254027843
2025-11-17,0.011444291565567255
2025-11-18,-0.004963767598383129
2025-11-19,-0.009254774311557412
2025-11-21,-0.010482304953693528
2025-11-24,-0.02005740813910961
2025-11-25,-0.011946641374379396
2025-11-26,-0.002367529319599271
2025-11-27,0.0013751656806562096
2025-11-28,-0.011043278267607093
2025-12-01,-0.0006825326193938962
2025-12-02,-0.0031916551537506167
2025-12-03,0.013094889240346675
2025-12-04,-0.01984745745510736
2025-12-05,-0.011503024259582162
2025-12-08,-0.004654231248423457
2025-12-09,-0.0187821781999284
2025-12-10,-0.019381114114643848
2025-12-11,-0.019806889817118645
2025-12-12,-0.009661185555160046
2025-12-15,0.006141864486853592
2025-12-16,0.010271107708686032
2025-12-17,-0.0016617563087493181
2025-12-18,0.019104138667462394
2025-12-19,-0.009717530105262995
2025-12-22,-0.007412606389552821
2025-12-23,-0.015662094578146935
2025-12-26,-0.004341955413110554
2025-12-29,0.00210116874484811
2025-12-30,0.00498273060657084
