mes,score_pred,score_port,score_risk,score_total,dias
2025-01,30.0,73.66412613491411,100.0,63.64885676071135,21
2025-02,29.4,79.82633090912998,100.0,66.2118489091085,20
2025-03,45.24631284879621,80.93170073717523,100.0,72.25547482880752,19
2025-04,33.0,44.69192615306597,100.0,51.66136676887969,20
2025-05,34.28571428571428,82.08842943033879,100.0,68.93979324365245,21
2025-06,18.6,46.9004633758602,100.0,47.61520851913709,20
2025-07,34.95652173913043,82.29189633526111,100.0,69.26613595956314,23
2025-08,40.25463760786091,84.07229307272839,100.0,71.9216550454791,21
2025-09,39.81818181818182,86.72270158071997,100.0,72.96157934768763,22
2025-10,28.695652173913043,88.73840466216423,100.0,69.97576035884347,23
2025-11,24.63157894736842,89.78233203944623,100.0,69.02310204932975,19
2025-12,19.2,92.61951824470609,100.0,68.39878321011774,20
