mes,n,hit_ratio,mae,rmse,mape_pct,smape_pct,r2,score_pred_metricas
2025-01,110.0,0.5,0.06130981068778718,0.07222395443034585,186.72352812282475,164.56495784098303,-0.8059605355201638,29.02740307660176
2025-02,100.0,0.49,0.0753733454453636,0.10199099689109098,225.937207537785,148.99424998988698,-0.9934329499477259,29.866820502545348
2025-03,95.0,0.6631578947368421,0.04488715103517085,0.05196847978304373,109.35245996726492,140.5179219871329,0.047559115262750806,48.89832254467461
2025-04,100.0,0.55,0.0881723702073948,0.10858622976266753,145.83857958432634,163.18769568335642,-0.26745756816482125,36.68788518168051
2025-05,105.0,0.5714285714285714,0.07752558257174265,0.1208666221929266,165.86514175751182,149.50684086187408,-0.38258543796013056,39.129920305166735
2025-06,100.0,0.31,0.04628722658904073,0.056208229415918076,162.0051793531367,173.03280823712797,-0.46948187910891037,23.098619561485304
2025-07,115.0,0.5826086956521739,0.05724718841269933,0.07247775405791988,162.47429021434047,156.6426560278983,-0.16243627762260515,40.35145384428125
2025-08,105.0,0.6476190476190476,0.05210586556805066,0.05975937583216011,130.04675463962954,135.814445497451,-1.721107696438481,38.741872805271704
2025-09,110.0,0.6636363636363637,0.035931701991298685,0.044781086189151435,118.78208239954698,126.50524562869035,-0.08676391218614987,50.37676629785498
2025-10,115.0,0.4782608695652174,0.07894324202476632,0.08996734867689646,101.56533637949354,151.26030306790187,-8.001822237542095,28.87837416902832
2025-11,95.0,0.4105263157894737,0.0640750321896905,0.07931320799982189,330.34966412071634,144.53473885388476,-0.691537208987945,30.598732770922542
2025-12,100.0,0.32,0.11059864703160928,0.12443430240762841,224.32323039000494,170.98053036370786,-2.8745038993194254,18.603893927258426
