mode,score_total,score_pred,score_port,score_risk,total_return_est,vol_annual_est,sharpe_est,max_drawdown_est,final_capital_est_brl,avg_gross_exposure,avg_max_weight,dias
daily,72.30503139637005,31.055999999999994,92.0787364363779,100.0,0.1351092088860948,0.02136513581959597,6.015173732009125,-0.009315743449616498,113510.92088860949,1.0,0.35,249
monthly,71.93622844212351,31.055999999999994,91.25917431583,100.0,0.1279571592011146,0.019220911931404964,6.350993627291258,-0.009540091414430907,112795.71592011146,1.0,0.35,249
weekly,71.72655612191762,31.055999999999994,90.79323582648362,100.0,0.12328764069053944,0.020266877079675068,5.816982263831554,-0.008649356268030983,112328.76406905394,1.0,0.35,249
