trial,objective,alpha_q,tau,max_weight_per_asset,w_model_conf,w_news_conf,confidence_floor,confidence_cap,err_window,err_min_periods,rolling_min_obs,use_rolling_prior,long_only,rebalance_mode,val_sharpe,val_total_return_pct,val_excess_vs_selic_pct,val_max_drawdown,val_final_capital_brl,val_n_days,val_full_sharpe,val_full_total_return_pct,val_full_excess_vs_selic_pct,val_full_max_drawdown,val_full_final_capital_brl,val_full_n_days
33,2.65946600259133,0.8529699414082709,0.018380078514260975,0.24738329019707395,0.5221365411393811,0.4778634588606189,0.12530274739501177,0.7495474304397844,8,6,110,True,True,weekly,2.604554487249603,52.174601883111094,15.127323690724914,-0.10982303068345378,166661.38796241838,250.0,1.3197607082380372,66.30289643104308,15.127323690724914,-0.16991751894941076,166661.38796241838,667.0
39,2.6212717471693914,0.8570967486642366,0.03899320073468757,0.3269985005198829,0.5396125788086152,0.46038742119138476,0.11748870832428503,0.7668581716130419,9,5,70,True,True,weekly,2.5677426477424343,55.60138688213709,16.94237312537372,-0.10705819885391366,169288.90199037927,250.0,1.3119224479352853,67.94555632242142,16.94237312537372,-0.18634216333764442,169288.90199037927,667.0
36,2.5963730729271575,0.8452046604148764,0.017325996561278038,0.30465806610583324,0.5806135960252186,0.41938640397478144,0.10225542130077139,0.7179431613856684,7,6,110,True,True,weekly,2.5322178113749736,54.78829530371099,13.335075597483236,-0.1283105231043682,164066.88176513134,250.0,1.2379314325746207,64.02703024449465,13.335075597483236,-0.18557049411295912,164066.88176513134,667.0
22,2.57152012404818,0.7635993913233036,0.025253295761810093,0.29977011841303525,0.5709505409704196,0.42904945902958036,0.14218422061895566,0.700798842816536,23,6,120,True,True,weekly,2.516536932934277,53.767668611233454,15.255492400774662,-0.10996638222780719,166846.92840951178,250.0,1.2779191607998495,66.77918427964215,15.255492400774662,-0.1907724189914265,166846.92840951178,667.0
34,2.569536401983512,0.8613373909465942,0.018326577301795793,0.24709187891737877,0.5916093844369903,0.4083906155630097,0.0785626355016723,0.7713557056322388,8,6,110,True,True,weekly,2.512825702756701,50.68491116420253,13.459908779712592,-0.11342139845362165,164247.59361308502,250.0,1.277942972594702,63.89270266964986,13.459908779712592,-0.16983715855882453,164247.59361308502,667.0
24,2.560972607233544,0.6570857843788928,0.015016045947080559,0.2646648362718633,0.5830398649137103,0.4169601350862897,0.13263577481868438,0.737624133758937,24,4,120,True,True,weekly,2.499766272243299,51.1517307281643,11.946856461705412,-0.12241266998048927,162057.2586752535,250.0,1.224673030711186,61.801848773430315,11.946856461705412,-0.18092618803488147,162057.2586752535,667.0
12,2.5455896073087465,0.6736163315846209,0.020220613482958966,0.2630832167457126,0.6167260399024402,0.38327396009755976,0.049206534284809686,0.7899546751454132,27,6,90,True,True,weekly,2.4874218864353135,50.88196965873999,11.592723242594127,-0.11633544174686627,161544.6059710246,250.0,1.2176272386535094,61.28149883728009,11.592723242594127,-0.17961386244456123,161544.6059710246,667.0
31,2.5362086516917985,0.7798447374440343,0.025919589635853953,0.2648897868883165,0.5158264558641732,0.4841735441358268,0.14006218580737229,0.7414286434781109,23,7,120,True,True,weekly,2.4761937511429313,50.53051047122459,12.635335928448544,-0.12002980109773442,163053.919935436,250.0,1.247901839429934,62.798160301245474,12.635335928448544,-0.17817813491249201,163053.919935436,667.0
13,2.526695064060867,0.7257933717045454,0.028510748270313822,0.2633635808338226,0.6313361912700715,0.36866380872992854,0.15212186182083165,0.7865862727502462,23,7,120,True,True,weekly,2.4669765162667874,50.251004700563826,11.623746558670822,-0.11943709558815874,161589.51615177744,250.0,1.22027175320598,61.3278438912763,11.623746558670822,-0.17303944707896424,161589.51615177744,667.0
14,2.5263064464541825,0.7387037093537588,0.03151853410295163,0.2970987903986331,0.6255859697130808,0.3744140302869192,0.15053142360344118,0.7106141897831117,24,6,120,True,True,weekly,2.468640790336152,52.236079164134466,13.483270872780695,-0.11533131223606152,164281.41320283676,250.0,1.2458027461848291,64.20006851580524,13.483270872780695,-0.1842248612784383,164281.41320283676,667.0
32,2.52402877188383,0.7875977631704305,0.0238016838034606,0.2698735386440455,0.520870598377859,0.479129401622141,0.13984407252283046,0.7199245054185366,23,7,120,True,True,weekly,2.4637749287598494,50.763615450771816,12.963254162355199,-0.12050768624796193,163528.62312707695,250.0,1.2511976984816229,63.29925463256452,12.963254162355199,-0.1802972076076419,163528.62312707695,667.0
25,2.519796473472205,0.6662299844197658,0.014512327469006598,0.22988599593180142,0.5780139983135565,0.4219860016864435,0.09431083200974322,0.7383483063043986,26,4,100,True,True,weekly,2.4606821745666765,48.00966952823207,10.203277266586674,-0.11822859781105732,159533.20687447066,250.0,1.2122796564421787,59.097283795173894,10.203277266586674,-0.16573831106395964,159533.20687447066,667.0
