ticker,horizonte_vencedor,dir_acc_pct,omega_base,omega_ajustado,penalidade_fator,rmse_wf,mae_wf
ABEV3,1mes,51.472650771388494,0.005321327783077635,0.005609478624235253,1.0542,0.07294743164140623,0.056011973541785186
B3SA3,1mes,48.11046511627907,0.008609084175017784,0.01270215207153765,1.4754,0.09278515061699143,0.07632621264370529
BBAS3,1mes,52.590266875981165,0.00746796894202461,0.00746796894202461,1.0,0.08641741110461833,0.06674396533558571
BBDC4,1mes,59.59302325581395,0.008095148031833045,0.008095148031833045,1.0,0.08997304058346058,0.06915076646451147
CMIG4,1mes,64.38953488372093,0.004371899111882766,0.004371899111882766,1.0,0.06612033811077168,0.04977617468674672
EQTL3,1mes,53.85694249649369,0.003750340884833886,0.003750340884833886,1.0,0.06124002681934329,0.05000248620882585
GGBR4,1mes,52.87517531556802,0.006250383849041365,0.006250383849041365,1.0,0.07905936914143298,0.062186702977814166
ITUB4,1mes,57.082748948106584,0.004390740054693046,0.004390740054693046,1.0,0.06626265958058918,0.05280821724527065
LREN3,1mes,48.837209302325576,0.016754071313157717,0.022986805145387455,1.372,0.1294375189547363,0.10343219603305746
MGLU3,1mes,59.06344410876133,0.043409535259302204,0.043409535259302204,1.0,0.2083495506577881,0.16265017247050262
PETR3,1mes,67.3211781206171,0.007580355245523135,0.007580355245523135,1.0,0.0870652355738106,0.06890459090193438
PETR4,1mes,70.68723702664796,0.006399589901712508,0.006399589901712508,1.0,0.07999743684464214,0.06306754442106316
PRIO3,1mes,56.5406976744186,0.010065670704655479,0.010065670704655479,1.0,0.10032781620595296,0.0821044257834532
RADL3,1mes,42.91725105189341,0.010442126788859557,0.025896897449252377,2.48,0.1021867251107479,0.07537045956320507
RAIL3,1mes,56.395348837209305,0.004589321647635682,0.004589321647635682,1.0,0.06774453223423778,0.053630739307645205
SANB11,1mes,56.34441087613293,0.0056287198997929866,0.0056287198997929866,1.0,0.07502479523326262,0.0608353264902509
SBSP3,1mes,64.51612903225806,0.004655783606720622,0.004655783606720622,1.0,0.0682333027686673,0.05541434378655165
SUZB3,1mes,38.70967741935484,0.006371684005591702,0.024068310489725995,3.7774,0.07982282884984535,0.0646509760690659
VALE3,1mes,44.76744186046512,0.005913563526068025,0.012188640716003764,2.0611,0.07689969782819712,0.06266506065477556
WEGE3,1mes,58.139534883720934,0.005998054619326462,0.005998054619326462,1.0,0.07744710852786217,0.06347813878914857
