date,ticker,close,y_real,y_pred,erro,fold
2023-05-11,GGBR4,17.478542,0.02483018066985458,0.00010776054114103317,0.024722420128713545,1
2023-05-12,GGBR4,17.579992,0.049551310774861405,-0.0009437147527933121,0.05049502552765472,1
2023-05-15,GGBR4,17.695938,0.04257684183346943,-0.00020933058112859726,0.04278617241459803,1
2023-05-16,GGBR4,17.281477,0.04070198031257994,0.0005533881485462189,0.04014859216403372,1
2023-05-17,GGBR4,17.851358,-0.006238290115211177,-0.00020933058112859726,-0.00602895953408258,1
2023-05-18,GGBR4,17.910566,0.0037121539129427164,-0.00020933058112859726,0.003921484494071314,1
2023-05-19,GGBR4,17.821753,0.04068922931699142,-0.00020933058112859726,0.04089855989812002,1
2023-05-22,GGBR4,18.56926,-0.0011963223768016156,0.0015413090586662292,-0.002737631435467845,1
2023-05-23,GGBR4,18.532257,-0.001598808969606063,-0.00020933058112859726,-0.0013894783884774657,1
2023-05-24,GGBR4,18.102997,0.029407856710399558,-0.00020933058112859726,0.029617187291528155,1
2023-05-25,GGBR4,17.91797,0.04403848412786873,-0.00020933058112859726,0.04424781470899733,1
2023-05-26,GGBR4,18.473047,0.0067878200104426415,-0.0024299416691064835,0.009217761679549125,1
2023-05-29,GGBR4,18.465645,0.007984101043899263,-0.00020933058112859726,0.00819343162502786,1
2023-05-30,GGBR4,17.999378,0.06833492204218737,-0.00020933058112859726,0.06854425262331597,1
2023-05-31,GGBR4,17.740343,0.07821181793580757,-0.00020933058112859726,0.07842114851693617,1
2023-06-01,GGBR4,17.977177,0.06610689619904893,-0.010226789861917496,0.07633368606096642,1
2023-06-02,GGBR4,18.561861,0.04483317044980299,-0.021748291328549385,0.06658146177835238,1
2023-06-05,GGBR4,18.547058,0.03142422607302639,-0.021748291328549385,0.053172517401575775,1
2023-06-06,GGBR4,18.502651,0.025667780105566293,-0.021748291328549385,0.04741607143411568,1
2023-06-07,GGBR4,18.643272,-0.00119167264227143,-0.021748291328549385,0.020556618686277957,1
2023-06-09,GGBR4,18.724684,-0.006742055973466673,-0.021748291328549385,0.015006235355082713,1
2023-06-12,GGBR4,18.598866,0.007927138288362865,-0.021748291328549385,0.02967542961691225,1
2023-06-13,GGBR4,18.613667,0.010678394450189328,-0.021748291328549385,0.03242668577873871,1
2023-06-14,GGBR4,19.272364,-0.039558809599487335,-0.031624410301446915,-0.00793439929804042,1
2023-06-15,GGBR4,19.18355,-0.025001363874871844,-0.031325049698352814,0.00632368582348097,1
2023-06-16,GGBR4,19.205753,-0.034499666820377174,-0.02815961465239525,-0.006340052167981926,1
2023-06-19,GGBR4,19.412985,-0.009961918664258084,-0.02815961465239525,0.018197695988137162,1
2023-06-20,GGBR4,19.13914,0.002317724906082796,-0.02815961465239525,0.030477339558478044,1
2023-06-21,GGBR4,18.98372,0.0066058253199075476,-0.02815961465239525,0.034765439972302796,1
2023-06-22,GGBR4,18.621069,0.01616417788855825,-0.021748291328549385,0.037912469217107635,1
