date,ticker,close,y_real,y_pred,erro,fold
2023-05-02,PETR3,16.762007,0.13661730474509,0.05568503588438034,0.08093226886070967,1
2023-05-03,PETR3,16.669909,0.17081116314670688,0.06176754832267761,0.10904361482402927,1
2023-05-04,PETR3,16.913311,0.1682204300403681,0.06334645301103592,0.10487397702933218,1
2023-05-05,PETR3,17.62379,0.13329796294282803,0.05726394057273865,0.07603402237008938,1
2023-05-08,PETR3,17.913244,0.1370599967594474,0.05726394057273865,0.07979605618670876,1
2023-05-09,PETR3,18.051392,0.159964875717748,0.015606465749442577,0.14435840996830543,1
2023-05-10,PETR3,18.084286,0.2051580615782759,0.02759704366326332,0.17756101791501258,1
2023-05-11,PETR3,18.518467,0.19409331752700443,0.045457080006599426,0.148636237520405,1
2023-05-12,PETR3,19.169735,0.15994926114043337,0.025145169347524643,0.13480409179290873,1
2023-05-15,PETR3,18.788183,0.22218778509837994,0.05377013236284256,0.16841765273553738,1
2023-05-16,PETR3,19.20921,0.1850736889399861,0.027375709265470505,0.1576979796745156,1
2023-05-17,PETR3,19.090796,0.19726493335930628,0.05377013236284256,0.14349480099646372,1
2023-05-18,PETR3,19.176313,0.21734932408943913,0.05902949720621109,0.15831982688322804,1
2023-05-19,PETR3,19.268414,0.21518461874086764,0.05534903705120087,0.15983558168966677,1
2023-05-22,PETR3,18.97896,0.2694741138185195,0.06477644294500351,0.20469767087351598,1
2023-05-23,PETR3,19.37367,0.23221605592629094,0.0531025230884552,0.17911353283783574,1
2023-05-24,PETR3,19.58418,0.18690784337821295,0.03125758469104767,0.15565025868716528,1
2023-05-25,PETR3,19.439453,0.2136072105992644,0.03125758469104767,0.18234962590821674,1
2023-05-26,PETR3,19.7618,0.18844262975458384,0.03125758469104767,0.15718504506353617,1
2023-05-29,PETR3,19.636808,0.20205825071703123,0.03125758469104767,0.17080066602598357,1
2023-05-30,PETR3,19.452608,0.22243409647247198,0.0439612939953804,0.17847280247709157,1
2023-05-31,PETR3,19.215786,0.18201593983534953,0.032772600650787354,0.14924333918456217,1
2023-06-01,PETR3,19.774958,0.17040567709823565,0.03162822872400284,0.1387774483742328,1
2023-06-02,PETR3,20.011786,0.16087390102068214,0.030296459794044495,0.13057744122663764,1
2023-06-05,PETR3,20.136774,0.15435118127095793,0.030296459794044495,0.12405472147691343,1
2023-06-06,PETR3,20.544645,0.12147222337123359,0.030296459794044495,0.0911757635771891,1
2023-06-07,PETR3,21.18276,0.08546651824554093,0.01687587983906269,0.06859063840647824,1
2023-06-09,PETR3,22.202423,0.03845274143275852,0.014688994735479355,0.023763746697279167,1
2023-06-12,PETR3,22.4853,0.017913499967431943,0.014688994735479355,0.003224505231952588,1
2023-06-13,PETR3,22.494751,0.014446356007105799,0.014688994735479355,-0.0002426387283735558,1
2023-06-14,PETR3,23.462793,-0.013146322540204085,0.009860722348093987,-0.02300704488829807,1
2023-06-15,PETR3,23.114578,-0.01947135774567229,0.009860722348093987,-0.029332080093766276,1
2023-06-16,PETR3,23.253862,-0.02517177376525457,0.009860722348093987,-0.035032496113348556,1
2023-06-19,PETR3,23.831903,-0.0583624219383185,0.002256062813103199,-0.060618484751421696,1
2023-06-20,PETR3,23.894583,-0.055428356950811504,0.0005951011553406715,-0.056023458106152176,1
2023-06-21,PETR3,24.848692,-0.08690931431061508,-0.005904797464609146,-0.08100451684600593,1
2023-06-22,PETR3,24.437798,-0.05205845200647118,0.0016204286366701126,-0.053678880643141295,1
2023-06-23,PETR3,23.609047,0.00294550238848219,0.009225087240338326,-0.0062795848518561355,1
2023-06-26,PETR3,24.068691,0.0014457494762991944,0.007564126513898373,-0.0061183770375991785,1
2023-06-27,PETR3,23.859762,0.005820563848367457,0.007564126513898373,-0.0017435626655309157,1
2023-06-28,PETR3,24.033869,-0.059393887327608454,0.007564126513898373,-0.06695801384150682,1
2023-06-29,PETR3,24.298515,-0.053573861603956635,0.009225087240338326,-0.06279894884429496,1
2023-06-30,PETR3,23.051897,0.0503715886075911,0.009225087240338326,0.04114650136725277,1
2023-07-03,PETR3,23.448864,0.012103655528190243,0.009225087240338326,0.0028785682878519174,1
2023-07-04,PETR3,23.50458,0.002663053968684694,0.007564126513898373,-0.004901072545213679,1
2023-07-05,PETR3,23.497614,0.01704436273143804,0.007564126513898373,0.009480236217539666,1
2023-07-06,PETR3,23.19815,-0.012993306146764447,0.007564126513898373,-0.02055743266066282,1
2023-07-07,PETR3,23.072794,-0.0009061052808580737,0.00980130210518837,-0.010707407386046443,1
2023-07-10,PETR3,23.072794,-0.0015103835411943245,-0.006703818216919899,0.005193434675725575,1
2023-07-11,PETR3,22.89172,0.017790287039983796,-0.006703818216919899,0.024494105256903695,1
2023-07-12,PETR3,22.822077,0.02053823861479976,0.022182922810316086,-0.0016446841955163258,1
