ticker,dir_acc_pct_ant,rmse_wf_ant,dir_acc_pct_atual,rmse_wf_atual,delta_dir_acc,delta_rmse
WEGE3,58.13953488372093,0.0774471085278621,58.139534883720934,0.07744710852786217,7.105427357601002e-15,6.938893903907228e-17
ITUB4,57.08274894810658,0.0662626595805891,57.082748948106584,0.06626265958058918,7.105427357601002e-15,6.938893903907228e-17
ABEV3,51.472650771388494,0.0729474316414062,51.472650771388494,0.07294743164140623,0.0,2.7755575615628914e-17
B3SA3,48.11046511627907,0.0927851506169914,48.11046511627907,0.09278515061699143,0.0,2.7755575615628914e-17
BBDC4,59.59302325581395,0.0899730405834605,59.59302325581395,0.08997304058346058,0.0,6.938893903907228e-17
BBAS3,52.590266875981165,0.0864174111046183,52.590266875981165,0.08641741110461833,0.0,2.7755575615628914e-17
EQTL3,53.85694249649369,0.0612400268193432,53.85694249649369,0.06124002681934329,0.0,9.020562075079397e-17
CMIG4,64.38953488372093,0.0661203381107716,64.38953488372093,0.06612033811077168,0.0,8.326672684688674e-17
LREN3,48.837209302325576,0.1294375189547363,48.837209302325576,0.1294375189547363,0.0,0.0
MGLU3,59.06344410876133,0.2083495506577881,59.06344410876133,0.2083495506577881,0.0,0.0
PETR3,67.3211781206171,0.0870652355738106,67.3211781206171,0.0870652355738106,0.0,0.0
GGBR4,52.87517531556802,0.0790593691414329,52.87517531556802,0.07905936914143298,0.0,8.326672684688674e-17
PETR4,70.68723702664796,0.0799974368446421,70.68723702664796,0.07999743684464214,0.0,4.163336342344337e-17
PRIO3,56.5406976744186,0.1003278162059529,56.5406976744186,0.10032781620595296,0.0,6.938893903907228e-17
RAIL3,56.395348837209305,0.0677445322342377,56.395348837209305,0.06774453223423778,0.0,8.326672684688674e-17
RADL3,42.91725105189341,0.1021867251107479,42.91725105189341,0.1021867251107479,0.0,0.0
SANB11,56.34441087613293,0.0750247952332626,56.34441087613293,0.07502479523326262,0.0,2.7755575615628914e-17
SBSP3,64.51612903225806,0.0682333027686673,64.51612903225806,0.0682333027686673,0.0,0.0
SUZB3,38.70967741935484,0.0798228288498453,38.70967741935484,0.07982282884984535,0.0,4.163336342344337e-17
VALE3,44.76744186046512,0.0768996978281971,44.76744186046512,0.07689969782819712,0.0,2.7755575615628914e-17
