ticker,horizon,horizon_nome,n_total,n_oof,rmse_wf,mae_wf,r2_wf,mse_wf,dir_acc_pct,dir_acc_reg_pct,dir_acc_clf_pct,q_source,rmse_cv_optuna,n_rounds_final,q_log,q_simples,q_data_base,omega_base,lr,max_depth,omega_ajustado,penalidade_fator,vencedor
ABEV3,21,1mes,1781,713,0.07294743164140623,0.056011973541785186,-0.09545923462584893,0.005321327783077635,51.472650771388494,51.472650771388494,,regressor,,30,-0.003912777944332136,-0.0039051330029476615,2026-04-07,0.005321327783077635,0.03,4,0.005609478624235253,1.0542,True
B3SA3,5,1sem,1734,694,0.042820182697515,0.03293361176385627,4.512022675018379e-05,0.0018335680462485634,54.7550432276657,54.7550432276657,,regressor,,1,-0.002631849450785692,-0.002628389171330416,2026-04-07,0.0018335680462485634,0.03,4,0.0018335680462485634,1.0,True
BBAS3,21,1mes,1592,637,0.08641741110461833,0.06674396533558571,-0.12199289663969726,0.00746796894202461,52.590266875981165,52.590266875981165,,regressor,,1,0.012536178976759519,0.012615086255599109,2026-04-07,0.00746796894202461,0.03,4,0.00746796894202461,1.0,True
BBDC4,21,1mes,1718,688,0.08997304058346058,0.06915076646451147,-0.09562585293317327,0.008095148031833045,59.59302325581395,59.59302325581395,,regressor,,2,5.464126659185083e-05,5.46427594530487e-05,2026-04-07,0.008095148031833045,0.03,4,0.008095148031833045,1.0,True
CMIG4,21,1mes,1718,688,0.06612033811077168,0.04977617468674672,-0.3518471897855331,0.004371899111882766,64.38953488372093,64.38953488372093,,regressor,,4,0.02491137922451748,0.025224260329443946,2026-04-07,0.004371899111882766,0.03,4,0.004371899111882766,1.0,True
EQTL3,21,1mes,1781,713,0.06124002681934329,0.05000248620882585,0.011979169460349048,0.003750340884833886,53.85694249649369,53.85694249649369,,regressor,,4,0.005288691566922343,0.005302701383144212,2026-04-07,0.003750340884833886,0.03,4,0.003750340884833886,1.0,True
GGBR4,21,1mes,1781,713,0.07905936914143298,0.062186702977814166,-0.06719235114705957,0.006250383849041365,52.87517531556802,52.87517531556802,,regressor,,7,-0.002956311945177639,-0.002951946358091088,2026-04-07,0.006250383849041365,0.03,4,0.006250383849041365,1.0,True
ITUB4,21,1mes,1781,713,0.06626265958058918,0.05280821724527065,-0.1417947191393336,0.004390740054693046,57.082748948106584,57.082748948106584,,regressor,,19,-0.005870006012972089,-0.005852811188701256,2026-04-07,0.004390740054693046,0.03,4,0.004390740054693046,1.0,True
LREN3,10,2sem,1729,692,0.07865894612722797,0.0618810183565547,0.001889781062749063,0.006187229805846153,52.02312138728323,52.02312138728323,,regressor,,44,-0.012622828298429933,-0.012543494557535527,2026-04-07,0.006187229805846153,0.03,4,0.006187229805846153,1.0,True
MGLU3,21,1mes,1655,662,0.2083495506577881,0.16265017247050262,-0.19234962423185675,0.043409535259302204,59.06344410876133,59.06344410876133,,regressor,,2,-0.058076179677542944,-0.056421936773817884,2026-04-07,0.043409535259302204,0.03,4,0.043409535259302204,1.0,True
PETR3,21,1mes,1781,713,0.0870652355738106,0.06890459090193438,0.04604430672652071,0.007580355245523135,67.3211781206171,67.3211781206171,,regressor,,1,0.027409713144410715,0.02778881509768015,2026-04-07,0.007580355245523135,0.03,4,0.007580355245523135,1.0,True
PETR4,21,1mes,1781,713,0.07999743684464214,0.06306754442106316,0.05098107785321759,0.006399589901712508,70.68723702664796,70.68723702664796,,regressor,,1,0.02037573028454886,0.02058473258812888,2026-04-07,0.006399589901712508,0.03,4,0.006399589901712508,1.0,True
PRIO3,21,1mes,1718,688,0.10032781620595296,0.0821044257834532,-0.18823251141666586,0.010065670704655479,56.5406976744186,56.5406976744186,,regressor,,54,0.03249937403512483,0.033033246501243035,2026-04-07,0.010065670704655479,0.03,4,0.010065670704655479,1.0,True
RADL3,1,1d,1801,721,0.02139868707927189,0.01480703765244851,-0.014813776251307864,0.00045790380871659777,49.375866851595006,49.375866851595006,,regressor,,3,-0.00019584448714279553,-0.00019582531086310008,2026-04-07,0.00045790380871659777,0.03,4,0.0005953041505060917,1.3001,True
RAIL3,21,1mes,1718,688,0.06774453223423778,0.053630739307645205,0.0038125032835673034,0.004589321647635682,56.395348837209305,56.395348837209305,,regressor,,2,-0.005053821020383741,-0.00504107195314081,2026-04-07,0.004589321647635682,0.03,4,0.004589321647635682,1.0,True
SANB11,21,1mes,1655,662,0.07502479523326262,0.0608353264902509,-0.037896601410612796,0.0056287198997929866,56.34441087613293,56.34441087613293,,regressor,,39,0.01011038894307659,0.010161671608886898,2026-04-07,0.0056287198997929866,0.03,4,0.0056287198997929866,1.0,True
SBSP3,21,1mes,1781,713,0.0682333027686673,0.05541434378655165,-0.17134911136026632,0.004655783606720622,64.51612903225806,64.51612903225806,,regressor,,17,-0.0019692568008112758,-0.001967319086798377,2026-04-07,0.004655783606720622,0.03,4,0.004655783606720622,1.0,True
SUZB3,1,1d,1801,721,0.016403706075794288,0.011156546458762798,-0.024803265932815233,0.00026908157302105043,46.04715672676838,46.04715672676838,,regressor,,4,0.0004572491742892168,0.0004573537286280987,2026-04-07,0.00026908157302105043,0.03,4,0.00048799194832685315,1.8135,True
VALE3,1,1d,1738,696,0.016034139650219183,0.011909128102276215,-0.005373139955231698,0.0002570936343227309,48.41954022988506,48.41954022988506,,regressor,,1,0.0002998468661779618,0.0002998918247429895,2026-04-07,0.0002570936343227309,0.03,4,0.00036778051420310913,1.4305,True
WEGE3,21,1mes,1718,688,0.07744710852786217,0.06347813878914857,0.085053708335871,0.005998054619326462,58.139534883720934,58.139534883720934,,regressor,,63,-0.021003112754775982,-0.020784083494305168,2026-04-07,0.005998054619326462,0.03,4,0.005998054619326462,1.0,True
