ticker,horizonte_vencedor,q_data_base,q_log,q_simples,q_source
ABEV3,1mes,2026-04-07,-0.003912777944332136,-0.0039051330029476615,regressor
B3SA3,1mes,2026-04-07,-0.033492499853495394,-0.03293783568788531,regressor
BBAS3,1mes,2026-04-07,0.012536178976759519,0.012615086255599109,regressor
BBDC4,1mes,2026-04-07,5.464126659185083e-05,5.46427594530487e-05,regressor
CMIG4,1mes,2026-04-07,0.02491137922451748,0.025224260329443946,regressor
EQTL3,1mes,2026-04-07,0.005288691566922343,0.005302701383144212,regressor
GGBR4,1mes,2026-04-07,-0.002956311945177639,-0.002951946358091088,regressor
ITUB4,1mes,2026-04-07,-0.005870006012972089,-0.005852811188701256,regressor
LREN3,1mes,2026-04-07,-0.006167663914190012,-0.00614868291796102,regressor
MGLU3,1mes,2026-04-07,-0.058076179677542944,-0.056421936773817884,regressor
PETR3,1mes,2026-04-07,0.027409713144410715,0.02778881509768015,regressor
PETR4,1mes,2026-04-07,0.02037573028454886,0.02058473258812888,regressor
PRIO3,1mes,2026-04-07,0.03249937403512483,0.033033246501243035,regressor
RADL3,1mes,2026-04-07,0.0025819115459072665,0.0025852475499940192,regressor
RAIL3,1mes,2026-04-07,-0.005053821020383741,-0.00504107195314081,regressor
SANB11,1mes,2026-04-07,0.01011038894307659,0.010161671608886898,regressor
SBSP3,1mes,2026-04-07,-0.0019692568008112758,-0.001967319086798377,regressor
SUZB3,1mes,2026-04-07,0.00576123473413509,0.005777862563906138,regressor
VALE3,1mes,2026-04-07,0.00421135241673356,0.004220232622838921,regressor
WEGE3,1mes,2026-04-07,-0.021003112754775982,-0.020784083494305168,regressor
