date,ticker,close,y_real,y_pred,erro,fold
2023-05-16,ABEV3,11.566141,-0.0006850973455057593,-0.0029443292878568172,0.002259231942351058,1
2023-05-17,ABEV3,11.534454,0.006844624813832879,-0.0029443292878568172,0.009788954101689697,1
2023-05-18,ABEV3,11.526533,0.012973821351951879,-0.0029443292878568172,0.015918150639808698,1
2023-05-19,ABEV3,11.550297,0.012270173145063129,-0.0029443292878568172,0.015214502432919946,1
2023-05-22,ABEV3,11.581985,0.009530390735724936,-0.0029443292878568172,0.012474720023581753,1
2023-05-23,ABEV3,11.55822,-0.007567960362829066,-0.0029443292878568172,-0.0046236310749722485,1
2023-05-24,ABEV3,11.613674,-0.01720038058758156,-0.0029443292878568172,-0.014256051299724744,1
2023-05-25,ABEV3,11.677051,-0.03451008584825495,-0.0029443292878568172,-0.03156575656039813,1
2023-05-26,ABEV3,11.692894,-0.02053459905746872,-0.0029443292878568172,-0.017590269769611904,1
2023-05-29,ABEV3,11.692894,-0.023998474816544522,-0.0029443292878568172,-0.021054145528687705,1
2023-05-30,ABEV3,11.471078,0.02320912015331247,-0.0029443292878568172,0.026153449441169287,1
2023-05-31,ABEV3,11.415623,0.030077479371389236,-0.0029443292878568172,0.03302180865924605,1
2023-06-01,ABEV3,11.280949,0.061285414838010345,-0.0029443292878568172,0.06422974412586716,1
2023-06-02,ABEV3,11.455234,0.047274129326008496,-0.0029443292878568172,0.05021845861386531,1
2023-06-05,ABEV3,11.415623,0.057967730008657674,-0.0029443292878568172,0.06091205929651449,1
2023-06-06,ABEV3,11.740425,0.03383410957721369,-0.0029443292878568172,0.036778438865070505,1
2023-06-07,ABEV3,11.764192,0.022637501471442494,-0.0029443292878568172,0.02558183075929931,1
2023-06-09,ABEV3,11.993931,-0.004634327705262951,-0.0029443292878568172,-0.0016899984174061338,1
2023-06-12,ABEV3,12.009774,-0.0033036698840907416,-0.0029443292878568172,-0.0003593405962339243,1
2023-06-13,ABEV3,12.096916,-0.008549803944947698,-0.0029443292878568172,-0.005605474657090881,1
2023-06-14,ABEV3,12.144448,-0.0032668956291458935,-0.0029443292878568172,-0.00032256634128907625,1
2023-06-15,ABEV3,12.033541,0.023423318042252856,-0.0029443292878568172,0.026367647330109673,1
2023-06-16,ABEV3,11.938476,0.02748863926342786,-0.0029443292878568172,0.03043296855128468,1
