feature,importance
mom_252,0.12479285
mom_126,0.05951425
risco_mercado_63,0.056035716
cs_rank_63,0.04685517
beta_21,0.04598425
mes_06,0.041185603
beta_63,0.040975053
cs_rank_126,0.039381158
risco_mercado_21,0.03730581
dist_ema_63,0.03676773
macro_ibov_ret,0.034669273
mom_63,0.03225735
trend_mercado_63,0.030425735
obv_z21,0.029510394
trend_mercado_21,0.029135596
atr_21,0.028839117
vol_rel_63,0.027992196
cs_rank_21,0.027869431
mom_21,0.027567137
bb_pctb_21,0.02742505
vol_21,0.02518187
vol_63,0.024842735
dist_ema_21,0.024057452
force_idx_z21,0.023998085
rsi_21,0.020504268
vol_rel_21,0.014965807
vwap_dist_21,0.013979707
lag_ret_21,0.00825675
lag_ret_1,0.006463218
lag_ret_5,0.0059086885
macro_usdbrl_ret,0.004209831
z_alpha_21,0.0031427024
z_alpha_63,0.0
dow_seg,0.0
dow_ter,0.0
dow_qui,0.0
dow_qua,0.0
mes_01,0.0
mes_02,0.0
mes_03,0.0
dow_sex,0.0
mes_04,0.0
mes_05,0.0
mes_07,0.0
mes_08,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
