date,ticker,close,y_real,y_pred,erro,fold
2023-06-06,WEGE3,35.181828,-0.033300909789958644,0.012239443138241768,-0.04554035292820041,1
2023-06-07,WEGE3,35.135784,-0.029014136913153955,0.012239443138241768,-0.04125358005139572,1
2023-06-09,WEGE3,34.81343,-0.039172842977469396,0.014112070202827454,-0.05328491318029685,1
2023-06-12,WEGE3,34.767384,-0.047262435895112496,0.014112070202827454,-0.06137450609793995,1
2023-06-13,WEGE3,34.398987,-0.033554822042833346,0.014112070202827454,-0.0476668922456608,1
2023-06-14,WEGE3,34.877903,-0.047381187488314276,0.014363294467329979,-0.061744481955644255,1
2023-06-15,WEGE3,34.85026,-0.04825363296256659,0.014363294467329979,-0.06261692742989657,1
2023-06-16,WEGE3,34.85948,-0.06815378077310373,0.014363294467329979,-0.08251707524043371,1
2023-06-19,WEGE3,34.6937,-0.04541889220689074,0.014363294467329979,-0.05978218667422072,1
2023-06-20,WEGE3,34.03059,0.027243193886078508,0.014363294467329979,0.012879899418748529,1
2023-06-21,WEGE3,33.5701,0.04744036650991816,0.015291225165128708,0.03214914134478945,1
2023-06-22,WEGE3,33.524044,0.06776223550964577,0.014363294467329979,0.053398941042315795,1
2023-06-23,WEGE3,33.70824,0.13194333177407733,0.014363294467329979,0.11758003730674735,1
2023-06-26,WEGE3,33.577526,0.11047388524034124,0.011562785133719444,0.0989111001066218,1
2023-06-27,WEGE3,33.66977,0.10723637626596583,0.011562785133719444,0.09567359113224638,1
2023-06-28,WEGE3,33.74358,0.10183016306329423,0.011562785133719444,0.09026737792957479,1
2023-06-29,WEGE3,33.98341,0.09400407406302544,0.014363294467329979,0.07964077959569546,1
2023-06-30,WEGE3,34.822845,0.05963265006258107,0.01217614859342575,0.04745650146915532,1
2023-07-03,WEGE3,34.767506,0.059719000949889446,0.01217614859342575,0.047542852356463695,1
2023-07-04,WEGE3,34.306274,0.07732990270678529,0.009375639259815216,0.06795426344697007,1
2023-07-05,WEGE3,34.592236,0.07897158220469273,0.009375639259815216,0.06959594294487752,1
2023-07-06,WEGE3,34.029533,0.10570711240607078,0.011562785133719444,0.09414432727235134,1
2023-07-07,WEGE3,34.130997,0.10468600177444772,0.011562785133719444,0.09312321664072827,1
2023-07-10,WEGE3,33.476055,0.11744310670235118,0.011562785133719444,0.10588032156863174,1
2023-07-11,WEGE3,33.16242,0.12980333727717952,0.011562785133719444,0.11824055214346008,1
2023-07-12,WEGE3,33.263885,0.11341823806532823,0.015741750597953796,0.09767648746737444,1
2023-07-13,WEGE3,33.263885,0.1024234531360863,0.015741750597953796,0.08668170253813251,1
2023-07-14,WEGE3,33.208538,0.09170091307030438,0.015741750597953796,0.07595916247235059,1
2023-07-17,WEGE3,32.562828,0.11235346889970092,0.015741750597953796,0.09661171830174713,1
