feature,importance
dist_ema_21,0.07308591
mom_252,0.06409038
risco_mercado_21,0.059943914
mom_126,0.059607036
vol_21,0.048779532
bb_pctb_21,0.0483232
risco_mercado_63,0.0456176
mes_06,0.043354597
cs_rank_63,0.037610468
rsi_21,0.037219226
beta_63,0.035445828
lag_ret_1,0.034312367
cs_rank_21,0.033758994
force_idx_z21,0.032941002
vol_63,0.032886796
trend_mercado_63,0.029862024
vol_rel_21,0.02947013
trend_mercado_21,0.027447086
vol_rel_63,0.024228869
beta_21,0.02375973
cs_rank_126,0.021321824
mes_03,0.021301007
mom_63,0.019269088
macro_ibov_ret,0.017434498
z_alpha_21,0.01704406
obv_z21,0.016854636
mom_21,0.013922346
vwap_dist_21,0.013875679
lag_ret_5,0.011859107
lag_ret_21,0.009569063
atr_21,0.0084503135
macro_usdbrl_ret,0.004513599
z_alpha_63,0.0028400372
dow_seg,0.0
dist_ema_63,0.0
dow_qui,0.0
dow_ter,0.0
dow_sex,0.0
mes_01,0.0
mes_02,0.0
dow_qua,0.0
mes_04,0.0
mes_05,0.0
mes_07,0.0
mes_08,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
