ticker,horizon,horizon_nome,n_total,n_oof,rmse_wf,mae_wf,r2_wf,mse_wf,dir_acc_pct,dir_acc_reg_pct,dir_acc_clf_pct,q_source,rmse_cv_optuna,n_rounds_final,q_log,q_simples,q_data_base,omega_base,lr,max_depth,omega_ajustado,penalidade_fator,vencedor
ABEV3,21,1mes,1781,713,0.07294743164140623,0.056011973541785186,-0.09545923462584893,0.005321327783077635,51.472650771388494,51.472650771388494,,regressor,,30,-0.003912777944332136,-0.0039051330029476615,2026-04-07,0.005321327783077635,0.03,4,0.005609478624235253,1.0542,True
B3SA3,21,1mes,1718,688,0.09278515061699143,0.07632621264370529,-0.10710482359466922,0.008609084175017784,48.11046511627907,48.11046511627907,,regressor,,13,-0.033492499853495394,-0.03293783568788531,2026-04-07,0.008609084175017784,0.03,4,0.01270215207153765,1.4754,True
BBAS3,21,1mes,1592,637,0.08641741110461833,0.06674396533558571,-0.12199289663969726,0.00746796894202461,52.590266875981165,52.590266875981165,,regressor,,1,0.012536178976759519,0.012615086255599109,2026-04-07,0.00746796894202461,0.03,4,0.00746796894202461,1.0,True
BBDC4,21,1mes,1718,688,0.08997304058346058,0.06915076646451147,-0.09562585293317327,0.008095148031833045,59.59302325581395,59.59302325581395,,regressor,,2,5.464126659185083e-05,5.46427594530487e-05,2026-04-07,0.008095148031833045,0.03,4,0.008095148031833045,1.0,True
CMIG4,21,1mes,1718,688,0.06612033811077168,0.04977617468674672,-0.3518471897855331,0.004371899111882766,64.38953488372093,64.38953488372093,,regressor,,4,0.02491137922451748,0.025224260329443946,2026-04-07,0.004371899111882766,0.03,4,0.004371899111882766,1.0,True
EQTL3,21,1mes,1781,713,0.06124002681934329,0.05000248620882585,0.011979169460349048,0.003750340884833886,53.85694249649369,53.85694249649369,,regressor,,4,0.005288691566922343,0.005302701383144212,2026-04-07,0.003750340884833886,0.03,4,0.003750340884833886,1.0,True
GGBR4,21,1mes,1781,713,0.07905936914143298,0.062186702977814166,-0.06719235114705957,0.006250383849041365,52.87517531556802,52.87517531556802,,regressor,,7,-0.002956311945177639,-0.002951946358091088,2026-04-07,0.006250383849041365,0.03,4,0.006250383849041365,1.0,True
ITUB4,21,1mes,1781,713,0.06626265958058918,0.05280821724527065,-0.1417947191393336,0.004390740054693046,57.082748948106584,57.082748948106584,,regressor,,19,-0.005870006012972089,-0.005852811188701256,2026-04-07,0.004390740054693046,0.03,4,0.004390740054693046,1.0,True
LREN3,21,1mes,1718,688,0.1294375189547363,0.10343219603305746,-0.09579629588099348,0.016754071313157717,48.837209302325576,48.837209302325576,,regressor,,6,-0.006167663914190012,-0.00614868291796102,2026-04-07,0.016754071313157717,0.03,4,0.022986805145387455,1.372,True
MGLU3,21,1mes,1655,662,0.2083495506577881,0.16265017247050262,-0.19234962423185675,0.043409535259302204,59.06344410876133,59.06344410876133,,regressor,,2,-0.058076179677542944,-0.056421936773817884,2026-04-07,0.043409535259302204,0.03,4,0.043409535259302204,1.0,True
