,VALE3.SA,BBAS3.SA,ITUB4.SA,BBDC4.SA,ABEV3.SA
VALE3.SA,0.00022640092992334647,2.7853862198514552e-05,4.1657931467870844e-05,5.115900944363193e-05,3.2645162182600205e-05
BBAS3.SA,2.7853862198514552e-05,0.00022550682070864107,0.00010601710804104592,0.00010697184017437582,5.4389804602953685e-05
ITUB4.SA,4.1657931467870844e-05,0.00010601710804104592,0.00017232867798171194,0.00015365042094048963,6.396174021979973e-05
BBDC4.SA,5.115900944363193e-05,0.00010697184017437582,0.00015365042094048963,0.000324176273805629,7.708408951756417e-05
ABEV3.SA,3.2645162182600205e-05,5.4389804602953685e-05,6.396174021979973e-05,7.708408951756417e-05,0.00017845043682293422
