view_date,VALE3.SA,BBAS3.SA,ITUB4.SA,BBDC4.SA,ABEV3.SA,views_count,view_tickers,Q_mean,Omega_mean,prior_obs,prior_end_date
2025-01-02,0.7437778382334648,0.03616264531439332,0.0990481648455301,0.05640666572524582,0.06460468588136606,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,-0.007579857859950852,0.0005990285306374572,499,2024-12-30
2025-01-03,0.692873016495824,0.05273778407737697,0.1514450886629134,0.08510709848977946,0.01783701227410633,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,-0.005017005935501662,0.0007745315423765903,500,2025-01-02
2025-01-06,0.7242454499306421,-0.005051560746110832,0.11744401920278004,0.07594878425719792,0.08741330735549084,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,-0.0011912309823318673,0.0004989882010706231,501,2025-01-03
2025-01-07,3.822950180761753,-0.5893859775989239,-2.8256323749163688,-0.22811926696382237,0.8201874387173619,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.010810127131574119,0.0008130343428892552,502,2025-01-06
2025-01-08,-0.729430460291664,0.18569710956411145,0.7963477373535607,0.41513373179729224,0.3322518815766997,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.006438532926595457,0.0011688000498297304,503,2025-01-07
2025-01-09,0.6323501956622692,-0.00824754621652133,0.29737717197894487,-0.4342223592486691,0.5127425378239765,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,-0.0002659872744888228,0.0002820399015451977,504,2025-01-08
2025-01-10,0.3606226723056245,-0.005726627132132161,0.44708196798652244,0.2777056141359635,-0.07968362729597836,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.005579758105536308,0.0003703912239420327,505,2025-01-09
2025-01-13,0.33997027631583904,0.004845854243614107,0.21006954598933805,0.7351570425822632,-0.2900427191310542,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.000705069928152591,0.00037272682169671315,506,2025-01-10
2025-01-14,1.3820673276558249,-0.5706444968207617,0.16494117758131488,-0.22667949735924875,0.25031548894287087,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.006277754641599009,0.00015596102188107153,507,2025-01-13
2025-01-15,-0.37060198340552386,-0.2977455168981562,0.18856343499550887,0.9627900369246575,0.5169940283835137,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.0029976997193412306,0.00013514961606073578,508,2025-01-14
