,VALE3.SA,BBAS3.SA,ITUB4.SA,BBDC4.SA,ABEV3.SA
VALE3.SA,4.161266867692788e-06,5.119561741341012e-07,7.656760511211659e-07,9.403066102857696e-07,6.000206440269725e-07
BBAS3.SA,5.119561741341012e-07,4.144833070126179e-06,1.9486027696493046e-06,1.9661508212199958e-06,9.996888789775976e-07
ITUB4.SA,7.656760511211659e-07,1.9486027696493046e-06,3.167414631562649e-06,2.8241068006354364e-06,1.1756218071486782e-06
BBDC4.SA,9.403066102857696e-07,1.9661508212199958e-06,2.8241068006354364e-06,5.958385365008e-06,1.416811617533145e-06
ABEV3.SA,6.000206440269725e-07,9.996888789775976e-07,1.1756218071486782e-06,1.416811617533145e-06,3.279933039709685e-06
