view_date,ticker,Q,ret_pred,ret_real,q_source,sentiment_signal,sentiment_component,news_count,ret_scale
2025-01-02,ABEV3,-0.0022245569852493404,-0.0026080133393406,-0.0440599308481173,xgb,0.0,0.0,0,0.05043921376771055
2025-01-02,BBAS3,0.009683307322736983,0.0170529223978519,0.1459951923874491,xgb,-0.6,-0.0330702642872514,1,0.055117107145419
2025-01-02,BBDC4,-0.00791864636699245,-0.0092836171388626,0.0604308626093583,xgb,0.0,0.0,0,0.0538391669530114
2025-01-02,ITUB4,0.005190220412291203,0.0060848807916045,0.1007374987884402,xgb,0.0,0.0,0,0.0487825301039826
2025-01-02,VALE3,-0.022439575339707675,-0.0205452386289834,-0.0014757840340664,xgb,-0.6,-0.03342924839452692,1,0.055715413990878204
2025-01-03,ABEV3,0.0217813759052883,0.025535924360156,-0.0268352063754725,xgb,0.0,0.0,0,0.05043921376771055
2025-01-03,BBAS3,0.010042900739764507,0.0174745004624128,0.151016659177138,xgb,-0.6,-0.0330702642872514,1,0.055117107145419
2025-01-03,BBDC4,-0.011506045609368095,-0.0134893916547298,0.0748091420061481,xgb,0.0,0.0,0,0.0538391669530114
2025-01-03,ITUB4,0.005190220412291203,0.0060848807916045,0.1162910273322864,xgb,0.0,0.0,0,0.0487825301039826
2025-01-03,VALE3,-0.021357345846542194,-0.0192764606326818,0.0180553214936026,xgb,-0.6,-0.03342924839452692,1,0.055715413990878204
2025-01-06,ABEV3,0.020152090683244632,0.0288424454629421,-0.0351546245221783,xgb,-0.6,-0.03026352826062633,1,0.05043921376771055
2025-01-06,BBAS3,0.014905223635563047,0.0174745004624128,0.1475704898594081,xgb,0.0,0.0,0,0.055117107145419
2025-01-06,BBDC4,-0.012542410986536186,-0.014704399742186,0.0536105918295649,xgb,0.0,0.0,0,0.0538391669530114
2025-01-06,ITUB4,0.002453418606320403,0.0028763248119503,0.0759129232847957,xgb,0.0,0.0,0,0.0487825301039826
2025-01-06,VALE3,-0.007422282795790222,-0.0087016932666301,0.0273988876047999,xgb,0.0,0.0,2,0.055715413990878204
2025-01-07,ABEV3,0.013274332689276715,0.0155624859035015,-0.0644230479263319,xgb,0.0,0.0,2,0.05043921376771055
2025-01-07,BBAS3,0.014905223635563047,0.0174745004624128,0.1376980638682245,xgb,0.0,0.0,0,0.055117107145419
2025-01-07,BBDC4,-0.009184656606471869,-0.0163361467421054,0.062705582262354,xgb,0.6,0.03230350017180684,1,0.0538391669530114
2025-01-07,ITUB4,0.002453418606320403,0.0028763248119503,0.0801254158083691,xgb,0.0,0.0,0,0.0487825301039826
2025-01-07,VALE3,-0.008936171300598707,-0.0181596595793962,0.0425035849277688,xgb,0.8,0.04457233119270257,2,0.055715413990878204
2025-01-08,ABEV3,0.013872611751909895,0.0162638928741216,-0.0502798440856915,xgb,0.0,0.0,0,0.05043921376771055
2025-01-08,BBAS3,0.016799184827864865,0.0196949318051338,0.1528489811327623,xgb,0.0,0.0,0,0.055117107145419
2025-01-08,BBDC4,-0.00434651887828421,-0.005095746833831,0.0920873999539839,xgb,0.0,0.0,0,0.0538391669530114
2025-01-08,ITUB4,0.00927975923673624,0.0108793508261442,0.0982056861491895,xgb,0.0,0.0,0,0.0487825301039826
2025-01-08,VALE3,-0.014522149634130014,-0.0170253943651914,0.067141875234062,xgb,0.0,0.0,1,0.055715413990878204
2025-01-09,ABEV3,0.010272710044092501,0.0166097097098827,-0.0494482127369942,xgb,-0.6,-0.02649031845093498,1,0.0441505307515583
2025-01-09,BBAS3,0.016799184827864865,0.0196949318051338,0.1350752669574424,xgb,0.0,0.0,0,0.1470258772849964
2025-01-09,BBDC4,-0.00434651887828421,-0.005095746833831,0.059075215296925,xgb,0.0,0.0,0,0.06872871573228184
2025-01-09,ITUB4,0.004103655137622022,0.0048110196366906,0.0882842991776565,xgb,0.0,0.0,0,0.09425451027261618
2025-01-09,VALE3,-0.01725295959664629,-0.0159085933119058,0.0679122160727961,xgb,-0.8,-0.025052072527087955,2,0.03131509065885994
2025-01-10,ABEV3,0.02610660631881881,0.0306067131459712,-0.0171717395252424,xgb,0.0,0.0,0,0.04503347774913095
2025-01-10,BBAS3,0.016799184827864865,0.0196949318051338,0.1389894012617371,xgb,0.0,0.0,0,0.14503410889707072
2025-01-10,BBDC4,-0.0041608317667199655,-0.0048780520446598,0.0723536235013491,xgb,0.0,0.0,0,0.0671197989930557
2025-01-10,ITUB4,0.005190220412291203,0.0060848807916045,0.113069672651445,xgb,0.0,0.0,0,0.09325947509012289
2025-01-10,VALE3,-0.015489643767431721,-0.0181596595793962,0.0726095180682828,xgb,0.0,0.0,0,0.037414611561182635
2025-01-13,ABEV3,0.029863007301798212,0.0350106209516525,-0.0252266872237426,xgb,0.0,0.0,0,0.04105322943143259
2025-01-13,BBAS3,0.016799184827864865,0.0196949318051338,0.1475793839922457,xgb,0.0,0.0,0,0.14417057923488022
