view_date,ticker,omega,omega_base,view_confidence,model_confidence,news_confidence,pred_abs_error,error_scale,sigma_ii,tau
2025-01-02,ABEV3,0.00036107996129358926,0.00011643463696399955,0.24383471707223167,0.46699416313623127,0.0,0.041451917508776706,0.05443895523856565,0.006334828051667962,0.0183800785142609
2025-01-02,BBAS3,0.0007216284036720752,0.00016197805960493615,0.18331470664464333,0.09165299584725488,0.28346868942621073,0.1289422699895972,0.0539564835082085,0.00881269682712504,0.0183800785142609
2025-01-02,BBDC4,0.0005181189686485881,8.10542775422834e-05,0.1352768636743552,0.25908331062055256,0.0,0.0697144797482209,0.05161720003163155,0.00440989832983544,0.0183800785142609
2025-01-02,ITUB4,0.0003415897970624403,4.8933662391823745e-05,0.1253027473950117,0.10320268825583452,0.0,0.09465261799683569,0.0416777197751394,0.002662320639917651,0.0183800785142609
2025-01-02,VALE3,6.11701154856584e-05,6.537534865182973e-05,0.5166155033482767,0.7299932965975539,0.28346868942621073,0.019069454594917,0.0605918244161604,0.0035568590526479918,0.0183800785142609
2025-01-03,ABEV3,0.00046713975250595765,0.00011643463696399955,0.19951978542059318,0.38212185836526735,0.0,0.052371130735628504,0.05443895523856565,0.006334828051667962,0.0183800785142609
2025-01-03,BBAS3,0.0007408894768280402,0.00016197805960493615,0.17940401340032064,0.08416320546447692,0.28346868942621073,0.1335421587147252,0.0539564835082085,0.00881269682712504,0.0183800785142609
2025-01-03,BBDC4,0.0005658132431415461,8.10542775422834e-05,0.1253027473950117,0.18074977229704292,0.0,0.0882985336608779,0.05161720003163155,0.00440989832983544,0.0183800785142609
2025-01-03,ITUB4,0.0003415897970624403,4.8933662391823745e-05,0.1253027473950117,0.07105890730024213,0.0,0.11020614654068189,0.0416777197751394,0.002662320639917651,0.0183800785142609
2025-01-03,VALE3,9.123783796408786e-05,6.537534865182973e-05,0.4174319548976294,0.5400361864626957,0.28346868942621073,0.0373317821262844,0.0605918244161604,0.0035568590526479918,0.0183800785142609
2025-01-06,ABEV3,0.00027611356950841436,0.00011643463696399955,0.2966123269555224,0.3086414871404452,0.28346868942621073,0.0639970699851204,0.05443895523856565,0.006334828051667962,0.0183800785142609
2025-01-06,BBAS3,0.0011307155402752566,0.00016197805960493615,0.1253027473950117,0.08971403799509843,0.0,0.1300959893969953,0.0539564835082085,0.00881269682712504,0.0183800785142609
2025-01-06,BBDC4,0.0005020919393399227,8.10542775422834e-05,0.1389947755738526,0.26620388465925965,0.0,0.0683149915717509,0.05161720003163155,0.00440989832983544,0.0183800785142609
2025-01-06,ITUB4,0.0003415897970624403,4.8933662391823745e-05,0.1253027473950117,0.17335504703684637,0.0,0.0730365984728454,0.0416777197751394,0.002662320639917651,0.0183800785142609
2025-01-06,VALE3,6.027857863502687e-05,6.537534865182973e-05,0.520280981768152,0.5511217479986439,0.486582880967408,0.036100580871430005,0.0605918244161604,0.0035568590526479918,0.0183800785142609
2025-01-07,ABEV3,0.00021372622599862036,0.00011643463696399955,0.3526603241801619,0.2300933495222294,0.486582880967408,0.0799855338298334,0.05443895523856565,0.006334828051667962,0.0183800785142609
2025-01-07,BBAS3,0.0011307155402752566,0.00016197805960493615,0.1253027473950117,0.10772669396187096,0.0,0.1202235634058117,0.0539564835082085,0.00881269682712504,0.0183800785142609
2025-01-07,BBDC4,0.000245286726070252,8.10542775422834e-05,0.24837294929238843,0.21625305257911692,0.28346868942621073,0.0790417290044594,0.05161720003163155,0.00440989832983544,0.0183800785142609
2025-01-07,ITUB4,0.0003415897970624403,4.8933662391823745e-05,0.1253027473950117,0.15668991332665788,0.0,0.0772490909964188,0.0416777197751394,0.002662320639917651,0.0183800785142609
2025-01-07,VALE3,8.867474769393522e-05,6.537534865182973e-05,0.42437720068084195,0.3674460740493865,0.486582880967408,0.060663244507165,0.0605918244161604,0.0035568590526479918,0.0183800785142609
2025-01-08,ABEV3,0.0006406774846054598,0.00011643463696399955,0.15378783887733272,0.2945356755567123,0.0,0.0665437369598131,0.05443895523856565,0.006334828051667962,0.0183800785142609
2025-01-08,BBAS3,0.0011307155402752566,0.00016197805960493615,0.1253027473950117,0.08477077453203316,0.0,0.1331540493276285,0.0539564835082085,0.00881269682712504,0.0183800785142609
2025-01-08,BBDC4,0.0005658132431415461,8.10542775422834e-05,0.1253027473950117,0.15216851399418574,0.0,0.09718314678781491,0.05161720003163155,0.00440989832983544,0.0183800785142609
2025-01-08,ITUB4,0.0003415897970624403,4.8933662391823745e-05,0.1253027473950117,0.12303625337104745,0.0,0.08732633532304529,0.0416777197751394,0.002662320639917651,0.0183800785142609
2025-01-08,VALE3,0.00018073940782064994,6.537534865182973e-05,0.2656295363546799,0.24930300350696225,0.28346868942621073,0.0841672695992534,0.0605918244161604,0.0035568590526479918,0.0183800785142609
2025-01-09,ABEV3,0.0002841996866634956,0.00011643463696399955,0.29062571551472716,0.29717588194121586,0.28346868942621073,0.0660579224468769,0.05443895523856565,0.006334828051667962,0.0183800785142609
2025-01-09,BBAS3,0.0011307155402752566,0.00016197805960493615,0.1253027473950117,0.11784369831160627,0.0,0.11538033515230861,0.0539564835082085,0.00881269682712504,0.0183800785142609
2025-01-09,BBDC4,0.00045710472970329974,8.10542775422834e-05,0.1506139941002514,0.28845710313932216,0.0,0.064170962130756,0.05161720003163155,0.00440989832983544,0.0183800785142609
2025-01-09,ITUB4,0.0003415897970624403,4.8933662391823745e-05,0.1253027473950117,0.13495317538138876,0.0,0.0834732795409659,0.0416777197751394,0.002662320639917651,0.0183800785142609
2025-01-09,VALE3,0.00011450556717275696,6.537534865182973e-05,0.3634368234792699,0.2507325855266509,0.486582880967408,0.0838208093847019,0.0605918244161604,0.0035568590526479918,0.0183800785142609
2025-01-10,ABEV3,0.0003485007857078357,0.00011643463696399955,0.2504318477066921,0.4796290394849818,0.0,0.0477784526712136,0.06502749621599865,0.006334828051667962,0.0183800785142609
2025-01-10,BBAS3,0.0006172811989375839,0.00016197805960493615,0.20786157858154966,0.3980981260724717,0.0,0.1192944694566033,0.12951912969329626,0.00881269682712504,0.0183800785142609
2025-01-10,BBDC4,0.00035742428291584457,8.10542775422834e-05,0.18485345659226043,0.3540327903289093,0.0,0.0772316755460089,0.07437810437634015,0.00440989832983544,0.0183800785142609
2025-01-10,ITUB4,0.00027907625647807685,4.8933662391823745e-05,0.14918348372029697,0.28571737843659817,0.0,0.1069847918598405,0.08539980743200559,0.002662320639917651,0.0183800785142609
2025-01-10,VALE3,0.00045636379921965833,6.537534865182973e-05,0.1253027473950117,0.1568404535010179,0.0,0.090769177647679,0.0489975133167247,0.0035568590526479918,0.0183800785142609
2025-01-13,ABEV3,0.00045514695652294117,0.00011643463696399955,0.20370606452473142,0.39013945294886637,0.0,0.0602373081753951,0.0639970699851204,0.006334828051667962,0.0183800785142609
2025-01-13,BBAS3,0.0006744020902156817,0.00016197805960493615,0.19366559529141897,0.370909867500963,0.0,0.12788445218711192,0.1289422699895972,0.00881269682712504,0.0183800785142609
2025-01-13,BBDC4,0.00020365140309504734,8.10542775422834e-05,0.28469497819937606,0.2858172873053965,0.28346868942621073,0.09672514568723349,0.0772316755460089,0.00440989832983544,0.0183800785142609
2025-01-13,ITUB4,0.0002663132576360712,4.8933662391823745e-05,0.1552232846160521,0.29728485249726316,0.0,0.10593247733948881,0.08732633532304529,0.002662320639917651,0.0183800785142609
