view_date,ticker,Q,ret_pred,ret_real,q_source,sentiment_signal,sentiment_component,news_count,ret_scale,omega,omega_base,view_confidence
2025-01-02,ABEV3,-0.0022245569852493404,-0.0026080133393406,-0.0440599308481173,xgb,0.0,0.0,0,0.05043921376771055,0.00036107996129358926,0.00011643463696399955,0.24383471707223167
2025-01-02,BBAS3,0.009683307322736983,0.0170529223978519,0.1459951923874491,xgb,-0.6,-0.0330702642872514,1,0.055117107145419,0.0007216284036720752,0.00016197805960493615,0.18331470664464333
2025-01-02,BBDC4,-0.00791864636699245,-0.0092836171388626,0.0604308626093583,xgb,0.0,0.0,0,0.0538391669530114,0.0005181189686485881,8.10542775422834e-05,0.1352768636743552
2025-01-02,ITUB4,0.005190220412291203,0.0060848807916045,0.1007374987884402,xgb,0.0,0.0,0,0.0487825301039826,0.0003415897970624403,4.8933662391823745e-05,0.1253027473950117
2025-01-02,VALE3,-0.022439575339707675,-0.0205452386289834,-0.0014757840340664,xgb,-0.6,-0.03342924839452692,1,0.055715413990878204,6.11701154856584e-05,6.537534865182973e-05,0.5166155033482767
2025-01-03,ABEV3,0.0217813759052883,0.025535924360156,-0.0268352063754725,xgb,0.0,0.0,0,0.05043921376771055,0.00046713975250595765,0.00011643463696399955,0.19951978542059318
2025-01-03,BBAS3,0.010042900739764507,0.0174745004624128,0.151016659177138,xgb,-0.6,-0.0330702642872514,1,0.055117107145419,0.0007408894768280402,0.00016197805960493615,0.17940401340032064
2025-01-03,BBDC4,-0.011506045609368095,-0.0134893916547298,0.0748091420061481,xgb,0.0,0.0,0,0.0538391669530114,0.0005658132431415461,8.10542775422834e-05,0.1253027473950117
2025-01-03,ITUB4,0.005190220412291203,0.0060848807916045,0.1162910273322864,xgb,0.0,0.0,0,0.0487825301039826,0.0003415897970624403,4.8933662391823745e-05,0.1253027473950117
2025-01-03,VALE3,-0.021357345846542194,-0.0192764606326818,0.0180553214936026,xgb,-0.6,-0.03342924839452692,1,0.055715413990878204,9.123783796408786e-05,6.537534865182973e-05,0.4174319548976294
2025-01-06,ABEV3,0.020152090683244632,0.0288424454629421,-0.0351546245221783,xgb,-0.6,-0.03026352826062633,1,0.05043921376771055,0.00027611356950841436,0.00011643463696399955,0.2966123269555224
2025-01-06,BBAS3,0.014905223635563047,0.0174745004624128,0.1475704898594081,xgb,0.0,0.0,0,0.055117107145419,0.0011307155402752566,0.00016197805960493615,0.1253027473950117
2025-01-06,BBDC4,-0.012542410986536186,-0.014704399742186,0.0536105918295649,xgb,0.0,0.0,0,0.0538391669530114,0.0005020919393399227,8.10542775422834e-05,0.1389947755738526
2025-01-06,ITUB4,0.002453418606320403,0.0028763248119503,0.0759129232847957,xgb,0.0,0.0,0,0.0487825301039826,0.0003415897970624403,4.8933662391823745e-05,0.1253027473950117
2025-01-06,VALE3,-0.007422282795790222,-0.0087016932666301,0.0273988876047999,xgb,0.0,0.0,2,0.055715413990878204,6.027857863502687e-05,6.537534865182973e-05,0.520280981768152
2025-01-07,ABEV3,0.013274332689276715,0.0155624859035015,-0.0644230479263319,xgb,0.0,0.0,2,0.05043921376771055,0.00021372622599862036,0.00011643463696399955,0.3526603241801619
