ticker,pi
VALE3.SA,2.8767076813015415e-05
BBAS3.SA,3.0044554526192687e-05
ITUB4.SA,3.785001370245723e-05
BBDC4.SA,4.560391333593179e-05
ABEV3.SA,2.6170354073080455e-05
