view_date,VALE3.SA,BBAS3.SA,ITUB4.SA,BBDC4.SA,ABEV3.SA,views_count,view_tickers,Q_mean,Omega_mean,prior_obs,prior_end_date
2025-01-02,-0.0028686069028926813,-0.000701082531624917,-0.0009730475510649932,-0.001193365236978617,-0.0006986256054042371,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,-0.007579857859950852,0.0005990285306374572,499,2024-12-30
2025-01-03,-0.0018645299155254965,-0.0005618306944811424,-0.0007742956229591066,-0.0009543569555748274,-0.00045182898245070324,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,-0.005017005935501662,0.0007745315423765903,500,2025-01-02
2025-01-06,-0.0026137323505652514,-0.0006183582452327306,-0.0009505063532503973,-0.0011934201930718863,-0.0007144398959576964,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,-0.0011912309823318673,0.0004989882010706231,501,2025-01-03
2025-01-07,0.0004579808244234452,-0.00016146547514153616,-0.0002244137905201291,-0.00019326743123256404,1.0507545285060284e-05,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.010810127131574119,0.0008130343428892552,502,2025-01-06
2025-01-08,0.00019540271569984177,-0.0002860512112321857,-0.00039348304426396795,-0.0004937787576566044,-0.00023382202139884134,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.006438532926595457,0.0011688000498297304,503,2025-01-07
2025-01-09,-0.0007190875194734567,-0.00012778065837225244,-0.00019085364429156346,0.00010926349537086465,-0.00040186143641308324,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,-0.0002659872744888228,0.0002820399015451977,504,2025-01-08
2025-01-10,-0.00035822486592765063,-0.0002545543133399114,-0.00041231563248831304,-0.0005372248236238346,-0.0001560108146036221,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.005579758105536308,0.0003703912239420327,505,2025-01-09
2025-01-13,-0.0006497908317203204,-0.0005336881441736998,-0.0008383538069781586,-0.0015030642601574805,-0.00020772516700871664,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.000705069928152591,0.00037272682169671315,506,2025-01-10
2025-01-14,-0.0022295972412550284,0.00039398077338540915,-2.6533717239595036e-05,0.00016346665435406323,-0.0003173903793993006,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.006277754641599009,0.00015596102188107153,507,2025-01-13
2025-01-15,7.488598439084286e-05,-0.00023044021677437929,-0.00045726450675690763,-0.0008903323061591307,-0.0004003169320627165,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.0029976997193412306,0.00013514961606073578,508,2025-01-14
2025-01-16,-0.002483432232251025,-0.00048586749153018376,-0.0007300417688344193,-0.0009045527000751165,-0.0006472857224967205,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,-0.0033688547037839358,0.00020637603963013086,509,2025-01-15
2025-01-17,-0.0021043244120631027,-0.0003918323328052553,-0.0006205511395348318,-0.0007480719642770769,-0.0005937458237795988,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,-0.00025572663279799305,0.00017187121651056524,510,2025-01-16
2025-01-20,-0.0009255618743696241,-0.0006460403397869546,-0.0009249208193081466,-0.0014214644272197883,-0.0011507712387599292,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,-0.001997515734686081,0.00020405237749900501,511,2025-01-17
2025-01-21,5.4837771158254336e-05,-0.0005166023137843202,-0.0003148730504085992,-0.000124326023180545,-0.0007732970480734528,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,-0.0055546895306144714,0.00013403057150634723,512,2025-01-20
2025-01-22,-0.0009171300896206511,0.0007975715596816285,0.00023910613479321353,0.00037612250135242496,-0.0008157082971257284,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.004963863527716073,0.0001321355378427126,513,2025-01-21
2025-01-23,-1.1642800316478051e-05,0.0046773044906441245,0.0027231402478072324,0.0029272471997402023,0.0011192350466685617,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.012665812053473603,0.0001377919838446389,514,2025-01-22
2025-01-24,0.000410037607215625,0.0028831068896226224,0.003189735497543575,0.0043309066472047636,0.0012919702988738227,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.015810481473169342,0.00017068312675817227,515,2025-01-23
2025-01-27,-0.0004317003966514137,0.0003604123933834019,0.0003629917856878227,0.0008636503038111897,-3.8991505491729136e-05,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.0029661221895366996,9.667672086748016e-05,516,2025-01-24
2025-01-28,-0.0007524557970777726,0.00659881401084276,0.0036775519024257576,0.003675256618694359,0.001685020407521644,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.009058411100206776,0.0007164816746369708,517,2025-01-27
2025-01-29,-0.0005908367925561342,6.909576971447816e-05,-8.919557275156226e-05,-0.00011669444286499883,-0.00018027525901196387,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.00972859184257686,0.0010505132330275828,518,2025-01-28
2025-01-30,0.004128841946239486,0.0003750461549728495,0.0005121183317437558,0.0005334928450698417,0.0003203223155500914,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.008383206567040457,0.0008187543035931948,519,2025-01-29
2025-01-31,-0.0015726709886101976,0.00011829138457331594,1.0854515559396332e-05,-0.00013222984552608508,-0.0002213473536954619,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,-0.0015847461803227345,0.0006529256247672912,520,2025-01-30
2025-02-03,9.63188003578862e-05,0.0017752738329017699,0.0021184320229959376,0.0018780035801230868,0.0007249037106591741,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.01121107175390581,0.000915595998887708,521,2025-01-31
2025-02-04,-0.0003185141188982589,0.00019800228983498874,7.949261352293819e-05,4.6431290682641006e-05,-9.205462221846548e-05,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.00469374521635472,0.0006193961882274562,522,2025-02-03
2025-02-05,0.002046879271867949,0.004728666145890521,0.00791329361055723,0.00704713081849806,0.002911866515278146,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.010825228141364687,0.0010283608982977767,523,2025-02-04
2025-02-06,0.0022568394432101345,0.0014030252336984868,0.0025656874167334863,0.0023089653197441063,0.0009487005515405899,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.005219908476698407,0.000847254964747454,524,2025-02-05
2025-02-07,0.000816869692793609,0.0010799464233685852,0.00194554398692844,0.0024769234175879957,0.0007312110170325051,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.009549787036128372,0.0005515450871778359,525,2025-02-06
2025-02-10,-0.0006267842167527266,0.00011555431440930435,-1.2774812727527943e-05,-6.243077945690968e-07,-0.0001438660393262332,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.0016911612620955912,0.00032281364086405597,526,2025-02-07
2025-02-11,-0.0007160178251110717,5.3042129046569164e-05,-3.179581111787179e-05,0.00025674252382420576,-0.00012918777666382636,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.0008605186054982033,0.00043333373608027144,527,2025-02-10
2025-02-12,0.0008169333481738472,0.0010667660986598145,0.0016322562998917379,0.0036452798072432804,0.0007787016480919158,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.008962760295201263,0.0012311529967826604,528,2025-02-11
2025-02-13,0.000748847837499133,0.0008852582705367327,0.0013649499850677488,0.0031077335434334134,0.0006293555450285433,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.008910177180706016,0.0012745368584174332,529,2025-02-12
2025-02-14,0.00042650919876975136,0.0006986373049035527,0.000685771462191018,0.0014210778835721351,0.0002643047672348861,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.008526056556775352,0.0003109489907713281,530,2025-02-13
2025-02-17,4.721817987979806e-05,0.0006911888243637454,0.0010242062244137293,0.00242929393369458,0.000432177949408527,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.007787282982868235,0.0006592275938013009,531,2025-02-14
2025-02-18,0.00021230156564765426,0.00037062188455269386,0.0005808305950077312,0.0014921746772351234,0.00021973708193569888,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.0074937632556709875,0.0011715883604085846,532,2025-02-17
2025-02-19,-0.00010918722891216968,0.0011440225523160089,0.0010686157649107838,0.0019816722423205684,0.0004302521493978392,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.008558351136837438,0.00028084865318682385,533,2025-02-18
2025-02-20,0.0014242532752843438,0.0003732303867720437,0.0005034987027758956,0.0009614041427251171,0.0002053620283039346,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.011282487537665925,0.0003459829537978946,534,2025-02-19
2025-02-21,0.0010356377501674445,3.6947619175756343e-06,2.1469745631350507e-05,0.00014277887490558045,-4.4655384690285586e-05,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.009442427295806004,0.0004911990543393027,535,2025-02-20
2025-02-24,-0.0017094234454331392,-0.0003231633278606397,-0.0004859688447607328,-0.0004970496754670945,-0.0004179243173006642,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.0017831494643872966,0.0005478253683895173,536,2025-02-21
2025-02-25,0.0005173538015303075,0.0001001152062314036,8.848331892375652e-05,0.0002575659733562972,-4.294621646144884e-05,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.009199747891648517,0.0003016686202817341,537,2025-02-24
2025-02-26,0.0016266923427907711,0.0029282142278523036,0.0026375483014413276,0.003306575578276573,0.004347336386644477,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.03175248884740545,0.00014045481467357158,538,2025-02-25
2025-02-27,-0.00039974445471751256,0.0019343642463983842,0.0015398957363386599,0.0018375370736147339,0.0028897326453595916,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.023020570417733026,0.00021552559349233757,539,2025-02-26
2025-02-28,-0.0011301477624735554,0.0003813509985204605,0.0002428410777989089,0.0003746041949178771,0.001117502586771983,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.017310085638386388,0.0003538483041427226,540,2025-02-27
2025-03-05,-0.0003770335700219284,0.0005254049890647322,0.00014955436776060966,0.0001769348197028872,-0.00010950633580566549,5,ABEV3.SA;BBAS3.SA;BBDC4.SA;ITUB4.SA;VALE3.SA,0.010995828560587862,0.0003239625559098129,541,2025-02-28
