view_date,ticker,ret_pred_model_mean,ret_real,context_days_used
2025-06-02,ABEV3,-0.012555846944451332,-0.0028425308410078287,150
2025-06-03,ABEV3,-0.0186051893979311,0.0065056560561060905,150
2025-06-04,ABEV3,-0.02129526436328888,0.0038201995193958282,150
2025-06-05,ABEV3,-0.01690293475985527,-0.009700609371066093,150
2025-06-06,ABEV3,-0.008199261501431465,0.005169878248125315,150
2025-06-09,ABEV3,-0.014008695259690285,-0.00485577154904604,150
2025-06-10,ABEV3,-0.016711484640836716,-0.0027805776335299015,150
2025-06-11,ABEV3,-0.03199845924973488,-0.005852533970028162,150
2025-06-12,ABEV3,-0.015747444704174995,-0.0012010522186756134,150
2025-06-13,ABEV3,-0.003562132129445672,-0.009828873910009861,150
2025-06-16,ABEV3,-0.0015668801497668028,0.0004177663940936327,150
2025-06-17,ABEV3,-0.00999455526471138,-0.013609323650598526,150
2025-06-18,ABEV3,-0.0007808144437149167,-0.0011732674902305007,150
2025-06-20,ABEV3,-0.006471002474427223,-0.00237090140581131,150
2025-06-23,ABEV3,-0.010404572822153568,0.008032268844544888,150
2025-06-24,ABEV3,-0.010152366943657398,9.051112283486873e-05,150
2025-06-25,ABEV3,-0.007086117751896381,-0.022986721247434616,150
2025-06-26,ABEV3,-0.010540906339883804,0.004132930189371109,150
2025-06-27,ABEV3,-0.012164328247308731,-0.012119496241211891,150
2025-06-30,ABEV3,-0.014062486588954926,0.006705061532557011,150
2025-07-01,ABEV3,-0.013250802643597126,0.008539860136806965,150
2025-07-02,ABEV3,-0.011989094316959381,0.018112313002347946,150
2025-07-03,ABEV3,0.004382079932838678,4.064573658979498e-05,150
2025-07-04,ABEV3,-0.013263307511806488,-0.0008534104563295841,150
2025-07-07,ABEV3,-0.034214865416288376,-0.012356038205325603,150
2025-07-08,ABEV3,-0.013168681412935257,0.0006344828871078789,150
2025-07-09,ABEV3,-0.02572607807815075,-0.004473303910344839,150
2025-07-10,ABEV3,0.0007181265391409397,-0.007542099338024855,150
2025-07-11,ABEV3,0.003130714874714613,0.004444230813533068,150
2025-07-14,ABEV3,0.007967710494995117,0.006760675460100174,150
2025-07-15,ABEV3,-0.009685882367193699,-0.005737781058996916,150
2025-07-16,ABEV3,-0.008476556278765202,0.021574733778834343,150
2025-07-17,ABEV3,-0.021374182775616646,-0.005594323854893446,150
2025-07-18,ABEV3,-0.003351057879626751,-0.011645178310573101,150
2025-07-21,ABEV3,-0.0010939956409856677,-0.000385249120881781,150
2025-07-22,ABEV3,-0.0010306453332304955,0.00787599291652441,150
2025-07-23,ABEV3,0.010390812531113625,0.011169510893523693,150
2025-07-24,ABEV3,0.0057266829535365105,-0.007468588650226593,150
2025-07-25,ABEV3,-0.00850021280348301,6.115418364061043e-05,150
2025-07-28,ABEV3,0.016025641933083534,-0.025604277849197388,150
2025-07-29,ABEV3,-0.004230885300785303,-0.0007930918363854289,150
2025-07-30,ABEV3,-0.00900043174624443,0.0007973102619871497,150
2025-07-31,ABEV3,-0.003961759619414806,-0.05457913875579834,150
2025-08-01,ABEV3,0.002944310661405325,-0.009220164269208908,150
2025-08-04,ABEV3,0.014741651713848114,0.008544426411390305,150
2025-08-05,ABEV3,-0.00850692018866539,-0.0013304025633260608,150
2025-08-06,ABEV3,0.0004878359322901815,0.006229011807590723,150
2025-08-07,ABEV3,-0.022907132282853127,0.0053198314271867275,150
2025-08-08,ABEV3,-0.010482562705874443,-0.015860162675380707,150
2025-08-11,ABEV3,-0.0026071760803461075,-0.003626799676567316,150
2025-08-12,ABEV3,-0.032349299639463425,0.002678650664165616,150
2025-08-13,ABEV3,-0.015085055492818356,-0.020956572145223618,150
2025-08-14,ABEV3,0.009942573495209217,-0.0029078228399157524,150
2025-08-15,ABEV3,-0.005483006127178669,-0.001775561016984284,150
2025-08-18,ABEV3,0.008334330283105373,0.006688681431114674,150
2025-08-19,ABEV3,-0.0027283078525215387,-0.007462972309440374,150
2025-08-20,ABEV3,-0.016524629667401314,0.005385283380746841,150
2025-08-21,ABEV3,-0.008562769740819931,-0.001712981378659606,150
2025-08-22,ABEV3,-0.0015958872390910983,0.013097013346850872,150
2025-08-25,ABEV3,-0.015085631981492043,-0.006147188134491444,150
2025-08-26,ABEV3,-0.006563898175954819,-0.0014399883802980185,150
2025-08-27,ABEV3,-0.006654402241110802,0.00020673239487223327,150
2025-08-28,ABEV3,0.00545305572450161,0.010624025948345661,150
2025-08-29,ABEV3,-0.012373684905469418,0.00971905142068863,150
2025-09-01,ABEV3,-0.003378188004717231,-0.004793462809175253,150
2025-09-02,ABEV3,-0.009420530870556831,-0.011166696436703205,150
2025-09-03,ABEV3,-0.003378164954483509,-0.028688203543424606,150
2025-09-04,ABEV3,-0.008655089884996414,0.02320561371743679,150
2025-09-05,ABEV3,-0.009035241790115833,0.012771520763635635,150
2025-09-08,ABEV3,0.00343996100127697,-0.012048552744090557,150
2025-09-09,ABEV3,0.009384899400174618,0.014653372578322887,150
2025-09-10,ABEV3,0.014139511622488499,0.010923856869339943,150
2025-09-11,ABEV3,-0.007848023436963558,0.0072689116932451725,150
2025-09-12,ABEV3,-0.012079491280019283,0.0016715372912585735,150
2025-09-15,ABEV3,-0.016050612553954124,0.007947396486997604,150
2025-09-16,ABEV3,0.02316734567284584,0.00611889036372304,150
2025-09-17,ABEV3,0.016339389607310295,0.006944283843040466,150
2025-09-18,ABEV3,-0.0076334066689014435,-0.018161531537771225,150
2025-09-19,ABEV3,0.01665261946618557,-0.006670093163847923,150
2025-09-22,ABEV3,0.01400798000395298,-0.00668341526761651,150
2025-09-23,ABEV3,0.0003020194417331368,0.006864042021334171,150
2025-09-24,ABEV3,-0.004813524894416332,-0.00683201476931572,150
2025-09-25,ABEV3,0.009752955287694931,0.007960619404911995,150
2025-09-26,ABEV3,0.007391714956611395,-0.0030871934723109007,150
2025-09-29,ABEV3,0.0023608794435858727,-0.0015763705596327782,150
2025-09-30,ABEV3,-0.015590553171932697,-0.022577853873372078,150
2025-10-01,ABEV3,-0.009959458373486996,-0.014891145750880241,150
2025-10-02,ABEV3,-0.019144125282764435,-0.002888682298362255,150
2025-10-03,ABEV3,-0.0019046437228098512,-0.005492329131811857,150
2025-10-06,ABEV3,-0.013203336857259274,-0.004102018196135759,150
2025-10-07,ABEV3,-0.0006779100513085723,-0.006999223958700895,150
2025-10-08,ABEV3,-0.006886703427881002,0.006182382814586163,150
2025-10-09,ABEV3,-0.012057479470968246,-0.007554071955382824,150
2025-10-10,ABEV3,-0.032223399728536606,0.005899873562157154,150
2025-10-13,ABEV3,-0.017174068838357925,0.00331315491348505,150
2025-10-14,ABEV3,-0.012354609556496143,0.013959953561425209,150
2025-10-15,ABEV3,-0.010412145406007767,-0.0006529164966195822,150
2025-10-16,ABEV3,-0.012648021802306175,0.012823985889554024,150
2025-10-17,ABEV3,-0.009525909088551998,0.013762938790023327,150
2025-10-20,ABEV3,-0.01838172972202301,0.0038431293796747923,150
2025-10-21,ABEV3,-0.015723222866654396,-0.012013967148959637,150
2025-10-22,ABEV3,-0.007544869557023048,-0.007276854477822781,150
2025-10-23,ABEV3,0.002313700970262289,-0.0027849797625094652,150
2025-10-24,ABEV3,0.014295860193669796,0.0009757412481121719,150
2025-10-27,ABEV3,-0.007431019563227892,0.005255227442830801,150
2025-10-28,ABEV3,0.006729850545525551,-0.011309666559100151,150
