method,n,hit_ratio_pct,mae,rmse,mape_pct,smape_pct,r2,corr,bias
pred_conf_filter,148,35.810810810810814,0.010034870740300166,0.01334451987670394,339.98941189391985,159.9208055508948,-0.138014949393513,0.16741292224701868,-0.0023833185015629736
pred_pod,148,54.054054054054056,0.013675736786926174,0.016991331160202013,813.2852839844651,141.35080414974706,-0.8450021222636881,0.15428360558480592,-0.0046339052162675904
pred_trimmed_mean,148,54.729729729729726,0.013742342686397185,0.017120342619769517,810.3731151504705,139.38993159557276,-0.8731258820438892,0.1560906640930603,-0.004766021028332508
pred_median,148,55.4054054054054,0.013649161137854625,0.017132814476127096,807.7006253088229,138.74736645815068,-0.8758559519519622,0.14361913032496723,-0.0046376619214218385
pred_zscore,148,55.4054054054054,0.5998398217860351,0.8167751865717724,45241.63094037804,190.43527168746704,-4262.312155259758,0.10725154452960661,-0.324850051443799
