time_hour,real_value,pred_maxmin,pred_quantile,pred_conf_gate,pred_conf_weighted,majority_direction,direction_sign,confidence,n_down,n_up,n_zero,pred_q10,pred_q25,pred_q75,pred_q90
2025-10-17 13:00:00,0.0073589086532592,-0.0001693592639639,-0.0024633541470393,-0.0024633541470393,-0.001379478322342008,down,-1.0,0.56,39,11,0,-0.00854966584593051,-0.005403031362220575,-0.000405478349421125,0.003259688708931201
2025-10-17 14:00:00,0.003246784210205,-0.0005995578831061,-0.00256670173257585,0.0,0.0,down,-1.0,0.08,27,23,0,-0.00809544194489709,-0.0061213363660499245,0.004602222470566625,0.009289304260164478
2025-10-17 15:00:00,0.0024272203445434,0.0,0.0,0.0,0.0,tie,0.0,0.0,25,25,0,-0.00790141914039843,-0.005202686297707201,0.00928303506225345,0.01643615234643218
2025-10-17 16:00:00,-0.0040355324745178,0.0009248691494576,0.00331795070087535,0.0,0.0,up,1.0,0.12,22,28,0,-0.00749580683186646,-0.003415386832784825,0.0094834114424884,0.014479242358356683
2025-10-17 17:00:00,-0.0008103847503662,0.0013697515241801,0.0072852708399295,0.0,0.0,up,1.0,0.16,21,29,0,-0.015325216110795669,-0.0038643254083580497,0.01240697642788285,0.01819069925695654
2025-10-17 18:00:00,0.0,3.086535343754804e-06,0.0072559542022645,0.0,0.0,up,1.0,0.16,21,29,0,-0.012818316090852,-0.00689958385191855,0.012961776694282875,0.02165301293134683
2025-10-17 19:00:00,0.0016220808029174,8.031001016206574e-06,0.00429510930553075,0.00429510930553075,0.00103082623332738,up,1.0,0.24,19,31,0,-0.013188209105282988,-0.0049954790156334,0.01309986435808235,0.02336930818855759
2025-10-20 13:00:00,-0.002429187297821,-6.58818389638327e-05,-0.005399755667895,-0.005399755667895,-0.0025918827205896,down,-1.0,0.48,37,13,0,-0.01909357383847234,-0.01265420205891125,0.00022225522297954182,0.00922234114259478
2025-10-20 14:00:00,0.0056818723678588,-0.0003696461499202,-0.0063992710784077,-0.0063992710784077,-0.003071650117635696,down,-1.0,0.48,37,13,0,-0.014253592118620859,-0.01091873785480855,0.00085337543714555,0.01455578356981274
2025-10-20 15:00:00,0.004035472869873,-0.0013459249166771,-0.007173546124249675,-0.007173546124249675,-0.002008592914789909,down,-1.0,0.28,32,18,0,-0.01836595982313155,-0.012171946000307726,0.0081805300433188,0.01824321635067462
2025-10-20 16:00:00,-0.0016076564788818,-0.0002593168464954,-0.006098765297792776,-0.006098765297792776,-0.0021955555072053993,down,-1.0,0.36,34,16,0,-0.0179194752126932,-0.0109075785148888,0.00629007129464295,0.02088008057326076
2025-10-20 17:00:00,-0.0016103386878967,-0.0002345512039028,-0.006389579270035,-0.006389579270035,-0.0030669980496168,down,-1.0,0.48,37,13,0,-0.016148985922336538,-0.011069695465266675,0.0016454888536827248,0.015280677657574387
2025-10-20 18:00:00,-0.0032258033752441,-0.0013625536812469,-0.006046941503882325,-0.006046941503882325,-0.002176898941397637,down,-1.0,0.36,34,16,0,-0.01749624088406555,-0.01285169995389875,0.0046786904567852,0.02154883574694386
2025-10-20 19:00:00,-0.0048543214797973,-0.0011270287213847,-0.0059559929650276,-0.0059559929650276,-0.0014294383116066239,down,-1.0,0.24,31,19,0,-0.021387138031423017,-0.0118749276734888,0.007062257616780651,0.01872185599058861
2025-10-21 13:00:00,-0.0008130073547363,0.0004414391878526,0.0031427112407982254,0.0031427112407982254,0.0008799591474235032,up,1.0,0.28,18,32,0,-0.005498980823904209,-0.001138363819336475,0.0069946438306942,0.01251260824501514
2025-10-21 14:00:00,-0.0032546520233154,0.0004129155713599,0.0035099078668281002,0.0035099078668281002,0.001544359461404364,up,1.0,0.44,14,36,0,-0.00916695334017272,-0.0016986658156383499,0.010223140940070125,0.01651497185230251
2025-10-21 15:00:00,0.0024489164352416,0.0004137025389354,0.006116236094385325,0.006116236094385325,0.0036697416566311945,up,1.0,0.6,10,40,0,-0.009865521639585468,0.0026414300664328,0.015670245047658626,0.0241802498698234
2025-10-21 16:00:00,-0.0024429559707641,0.0003504296182654,0.008064723573625,0.008064723573625,0.0038710673153399995,up,1.0,0.48,13,37,0,-0.010544435866177,-0.0004511719016591,0.01635101437568655,0.023005566932260912
2025-10-21 17:00:00,0.0008163452148437,0.0023349237162619,0.008289688732475,0.008289688732475,0.0016579377464950003,up,1.0,0.2,20,30,0,-0.019475696980953198,-0.007192833698354625,0.01293801050633185,0.01977646015584468
2025-10-21 18:00:00,-0.0048940181732177,0.0007845450891181,0.00523577095009385,0.00523577095009385,0.001256585028022524,up,1.0,0.24,19,31,0,-0.011331136524677248,-0.00759315246250475,0.012401191052049326,0.019467527419328622
2025-10-21 19:00:00,-0.0032786726951599,0.0,0.0,0.0,0.0,tie,0.0,0.0,25,25,0,-0.01953425761312243,-0.011392613872885675,0.009930555941536976,0.01950414087623352
2025-10-22 13:00:00,0.0008224248886108,8.501636330038309e-05,0.0021633296273648,0.0021633296273648,0.001038398221135104,up,1.0,0.48,13,37,0,-0.002483513159677349,-4.274912862456404e-05,0.005350289051420925,0.00847498811781402
2025-10-22 14:00:00,0.0,0.0012756220530718,0.0042364944238215,0.0042364944238215,0.00152513799257574,up,1.0,0.36,16,34,0,-0.01011008126661173,-0.000783320574555475,0.009852331830188575,0.0188940811902284
2025-10-22 15:00:00,-0.0008217096328735,0.0003844850580208,0.0060239593731239004,0.0060239593731239004,0.0026505421241745162,up,1.0,0.44,14,36,0,-0.01727586183696984,-0.0029556652298197003,0.01333294436335555,0.019667687825858572
2025-10-22 16:00:00,-0.0049341917037963,0.0033838935196399,0.008459693286567874,0.008459693286567874,0.001691938657313575,up,1.0,0.2,20,30,0,-0.01703828722238537,-0.0054248825181275,0.012776085175573774,0.0217928390949964
2025-10-22 17:00:00,0.000826358795166,0.0011655314592644,0.0061220708303153,0.0061220708303153,0.0029385939985513442,up,1.0,0.48,13,37,0,-0.012046061642467938,-0.00020237859280315,0.01379731763154265,0.021192900650203208
2025-10-22 18:00:00,-0.0008257031440734,0.0020661542657762,0.0056833457201719,0.0056833457201719,0.001364002972841256,up,1.0,0.24,19,31,0,-0.0130352512001991,-0.0045992570230737,0.015471295220777375,0.019040356948971708
2025-10-22 19:00:00,0.000826358795166,0.0002063338761217,0.006125946529209575,0.006125946529209575,0.002695416472852213,up,1.0,0.44,14,36,0,-0.00920490007847543,-0.0013238358951639085,0.015523043693974576,0.034327009320259
2025-10-23 13:00:00,-0.0057803392410278,9.670449799159542e-05,0.0014311814447864,0.0,0.0,up,1.0,0.16,21,29,0,-0.007959780003875429,-0.005396064021624574,0.00486902217380695,0.007703688321635108
2025-10-23 14:00:00,0.0058139562606811,8.500261174049228e-05,0.0045836239587515,0.0045836239587515,0.00110006975010036,up,1.0,0.24,19,31,0,-0.01814927626401183,-0.002072136499918975,0.0110504624899476,0.03419333770871162
2025-10-23 15:00:00,-0.0024772882461547,0.0010070579592138,0.005988770397379925,0.005988770397379925,0.0011977540794759851,up,1.0,0.2,20,30,0,-0.01220029359683386,-0.00509362202137705,0.015733320964500253,0.020858784392476022
2025-10-23 16:00:00,0.003311276435852,0.0024113301187753,0.0072379815392196,0.0072379815392196,0.0034742311388254077,up,1.0,0.48,13,37,0,-0.01360980868339538,-0.00011161697329954993,0.013720773393288225,0.019427820853888923
2025-10-23 17:00:00,-0.0008251070976257,0.0021769483573734,0.007817660341970576,0.007817660341970576,0.0021889448957517614,up,1.0,0.28,18,32,0,-0.012899683602154209,-0.00571734446566545,0.0135014683473855,0.016530192829668493
2025-10-23 18:00:00,0.0024774074554443,0.0001883719814941,0.006130301859229749,0.006130301859229749,0.0034329690411686598,up,1.0,0.56,11,39,0,-0.00968696605414148,0.00130554861971175,0.0125041941646486,0.018836355954408565
2025-10-23 19:00:00,-0.0016474723815917,0.0002586826158221,0.0064874363597482,0.0064874363597482,0.00389246181584892,up,1.0,0.6,10,40,0,-0.0043131839483976095,0.0013212820340413002,0.015458754729479475,0.02096184045076365
2025-10-24 13:00:00,0.0074257850646972,0.0007919005583971,0.00725436513312155,0.00725436513312155,0.005223142895847516,up,1.0,0.72,7,43,0,-0.00723862657323476,0.005050644278526275,0.018871073145419352,0.037062505632638874
2025-10-24 14:00:00,-0.003275990486145,0.0016876469599083,0.0089560244232416,0.0089560244232416,0.0028659278154373117,up,1.0,0.32,17,33,0,-0.025906196236610342,-0.0057592460652813,0.0170130371116101,0.02713881507515904
2025-10-24 15:00:00,0.0,0.0018533139955252,0.0082490160129964,0.0,0.0,up,1.0,0.04,24,26,0,-0.01419253414496776,-0.0085061830468475,0.016124639660119927,0.02174231261014931
2025-10-24 16:00:00,-0.0032867789268493,0.0023036424536257,0.0084682784508913,0.0,0.0,up,1.0,0.04,24,26,0,-0.01496885512024159,-0.00590752600692205,0.0173664665780961,0.02332062683999535
2025-10-24 17:00:00,0.0,0.0011159711284562,0.0074593417812138,0.0,0.0,up,1.0,0.08,23,27,0,-0.01326751746237271,-0.006968432222492975,0.016078667249530526,0.02349432744085786
2025-10-24 18:00:00,-0.0041220188140869,-0.0002224651398137,-0.00214832974597805,0.0,0.0,down,-1.0,0.08,27,23,0,-0.01775562614202493,-0.011794490506872476,0.012918665539473226,0.02683558668941254
2025-10-24 19:00:00,0.0,0.0002947954344563,0.0047132751205935745,0.0,0.0,up,1.0,0.12,22,28,0,-0.01989275161176917,-0.01133588026277715,0.016587945632636474,0.023240279406309055
2025-10-27 13:00:00,0.0107616186141967,-0.0004067582485731,-0.0037732597556895753,-0.0037732597556895753,-0.001358373512048247,down,-1.0,0.36,34,16,0,-0.016252817958593357,-0.00947023858316235,0.00433670624624935,0.006990492157638032
2025-10-27 14:00:00,0.0,0.0003054758999496,0.00398897088598455,0.0,0.0,up,1.0,0.04,24,26,0,-0.00876262597739696,-0.00592896726448085,0.007569563575088975,0.01970847155898802
2025-10-27 15:00:00,-0.003275990486145,0.0001038751433952,0.007574192888569,0.007574192888569,0.0021207740087993204,up,1.0,0.28,18,32,0,-0.00983314234763379,-0.0027830976177938,0.014811588451266225,0.02301531862467521
2025-10-27 16:00:00,0.0,0.0012411661446094,0.0063452869653701,0.0063452869653701,0.002030491828918432,up,1.0,0.32,17,33,0,-0.00952430572360746,-0.004390825633890875,0.017584284301847174,0.02852415665984146
2025-10-27 17:00:00,0.0,0.002090927446261,0.006350923795253,0.006350923795253,0.00203229561448096,up,1.0,0.32,17,33,0,-0.016172724217176398,-0.003814554540440375,0.01248501450754695,0.018489750288426837
2025-10-27 18:00:00,-0.0024650692939758,-0.0001783859042916,-0.004997454001568225,0.0,0.0,down,-1.0,0.04,26,24,0,-0.023793970420956538,-0.012908432865515275,0.010908620432019175,0.019141710363328422
2025-10-27 19:00:00,-0.0008237361907958,0.0013100521173328,0.0044188345782458,0.0,0.0,up,1.0,0.16,21,29,0,-0.014284140057861747,-0.0069786484818905245,0.013264565961435425,0.018101383373141284
2025-10-28 13:00:00,-0.0082440376281738,-0.000984456972219,-0.007410054677166,-0.007410054677166,-0.0056316415546461595,down,-1.0,0.76,44,6,0,-0.02117178551852696,-0.014028973644599249,-0.0062333167297765,0.0019149817293508907
2025-10-28 14:00:00,0.0041563510894775,-0.0025855496060103,-0.0060083894059062,-0.0060083894059062,-0.0038453692197799685,down,-1.0,0.64,41,9,0,-0.02079018484801049,-0.014942949870601225,-0.004326788359321625,0.0052061981521546825
2025-10-28 15:00:00,-0.0057947039604187,-0.0016910678241401,-0.00793213467113665,-0.00793213467113665,-0.00475928080268199,down,-1.0,0.6,40,10,0,-0.02094648797065013,-0.014918564585968824,-0.004938801284879375,0.01111310496926306
2025-10-28 16:00:00,0.0058284997940063,-0.0005378336645662,-0.007196898572146875,-0.007196898572146875,-0.003742387257516375,down,-1.0,0.52,38,12,0,-0.021310910210013318,-0.015122385462746002,-0.001317748974543,0.020377627201378302
2025-10-28 17:00:00,-0.0041390657424926,-0.0025740624405443,-0.0069081736728549,-0.0069081736728549,-0.002210615575313568,down,-1.0,0.32,33,17,0,-0.01676484309136866,-0.011865723179653249,0.0035458886995911,0.013301883265376055
2025-10-28 18:00:00,-0.0008311867713928,-0.0008726201485842,-0.00713380565866825,-0.00713380565866825,-0.00171211335808038,down,-1.0,0.24,31,19,0,-0.016004151012748397,-0.011766816256567825,0.00599573145154855,0.01366572063416241
2025-10-28 19:00:00,0.0016638040542602,-0.0004361121391411,-0.0069357311585918,-0.0069357311585918,-0.0019420047244057043,down,-1.0,0.28,32,18,0,-0.01625722460448741,-0.010567748453468025,0.0050206491723655995,0.019214281998574664
2025-10-29 13:00:00,-0.0033222436904907,0.0010068814735859,0.006196741480380226,0.006196741480380226,0.003222305569797717,up,1.0,0.52,12,38,0,-0.0033722739666699497,0.00154349417425685,0.013184058014303425,0.021886733546853047
2025-10-29 14:00:00,0.0099999904632568,0.0002793508174363,0.00565109495073555,0.00565109495073555,0.002938569374382486,up,1.0,0.52,12,38,0,-0.00852961093187324,0.0004048075570608,0.017122119897976476,0.03186392262578002
