mode,rule,n_obs,mae,rmse,smape_pct,r2,hit_ratio_pct_nonzero,corr,pred_score_0_100
invertido,pred_conf_weighted,77,0.004918220575789994,0.007972909626240364,134.83241446233228,-0.21743359132090911,50.0,3.936287081416488e-05,23.36924806509318
invertido,pred_maxmin,77,0.004379341751848436,0.007338036782890118,166.22892878591202,-0.031267583891865236,44.0,-0.00036997647489275646,22.665493120811007
invertido,pred_conf_gate,77,0.006983642080834983,0.009458775938532192,142.74528537001478,-0.7134896036799565,50.0,0.0029204591139437713,19.648827972400326
invertido,pred_quantile,77,0.0077248597615881725,0.009796288012777517,152.23648647296847,-0.8379542121491008,44.0,-0.017739305499804802,16.615343408881742
