time_hour,real_value,pred_median,pred_conf_filter,pred_pod,pred_trimmed_mean,pred_zscore
2025-06-02 00:00:00,-0.0028425308410078287,-0.01159231597557664,-0.007316538132727146,-0.01081392793734558,-0.011800392433360684,-1.0957449553742258
2025-06-03 00:00:00,0.0065056560561060905,-0.01780521310865879,-0.011460408801212907,-0.01824858538582921,-0.018057903795852325,-0.6934456963303471
2025-06-04 00:00:00,0.0038201995193958282,-0.021453674882650375,-0.013775779865682125,-0.020733055891934783,-0.021617647726088762,-0.7206772885570337
2025-06-05 00:00:00,-0.009700609371066093,-0.018148653209209442,-0.007040978758595884,-0.015566983814234844,-0.017673128946626093,-0.8179790321279209
2025-06-06 00:00:00,0.005169878248125315,-0.008895817678421736,0.0,-0.009647314893454313,-0.008912565434002317,-0.2970239874550557
2025-06-09 00:00:00,-0.00485577154904604,-0.017549818381667137,-0.00774734397418797,-0.015970959153166042,-0.016765351468347945,-0.5575582210757856
2025-06-10 00:00:00,-0.0027805776335299015,-0.0214665699750185,-0.010364754358306527,-0.023022282909753267,-0.02043777804938145,-0.4043264037332184
2025-06-11 00:00:00,-0.005852533970028162,-0.02196822315454483,-0.012971475487574935,-0.027582267274940387,-0.024175931946956553,-0.3158572744632744
2025-06-12 00:00:00,-0.0012010522186756134,-0.015583048574626446,-0.007435994688421488,-0.01660878667321522,-0.016552503699494993,-0.6624479814222105
2025-06-13 00:00:00,-0.009828873910009861,-0.0016020924085751176,0.0,-0.0022448486415669326,-0.0023689648587605916,-0.07121694444935135
2025-06-16 00:00:00,0.0004177663940936327,-0.0012992481933906674,0.0,-0.0008550274363020443,-0.0016690649106749333,-0.06637065652734893
2025-06-17 00:00:00,-0.013609323650598526,-0.00780551927164197,-0.0008699671889189631,-0.007618846879689955,-0.00799900626152521,-0.416652074513688
2025-06-18 00:00:00,-0.0011732674902305007,0.001056257518939674,0.0,0.0012049240465275954,5.563528975471854e-05,0.054094494070494104
2025-06-20 00:00:00,-0.00237090140581131,-0.006505884230136871,-0.003249277942813933,-0.005390501078171655,-0.006525107916968409,-0.8522640206642732
2025-06-23 00:00:00,0.008032268844544888,-0.011629553511738777,-0.0043419875437393785,-0.01278332195878029,-0.011677297555434053,-0.3202211616316177
2025-06-24 00:00:00,9.051112283486873e-05,-0.009519623592495918,-0.002653684583492577,-0.008500645186938346,-0.009827399353889632,-0.704453053405926
