time_hour,real_value,pos_pred_maxmin,ret_pred_maxmin,equity_pred_maxmin,pos_pred_quantile,ret_pred_quantile,equity_pred_quantile,pos_pred_conf_gate,ret_pred_conf_gate,equity_pred_conf_gate,pos_pred_conf_weighted,ret_pred_conf_weighted,equity_pred_conf_weighted
2025-10-17 13:00:00,0.0073589086532592,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2025-10-17 14:00:00,0.003246784210205,-1.0,-0.003246784210205,0.996753215789795,-1.0,-0.003246784210205,0.996753215789795,-1.0,-0.003246784210205,0.996753215789795,-1.0,-0.003246784210205,0.996753215789795
2025-10-17 15:00:00,0.0024272203445434,-1.0,-0.0024272203445434,0.994333876105941,-1.0,-0.0024272203445434,0.994333876105941,0.0,0.0,0.996753215789795,0.0,0.0,0.996753215789795
2025-10-17 16:00:00,-0.0040355324745178,0.0,-0.0,0.994333876105941,0.0,-0.0,0.994333876105941,0.0,-0.0,0.996753215789795,0.0,-0.0,0.996753215789795
2025-10-17 17:00:00,-0.0008103847503662,1.0,-0.0008103847503662,0.9935280830959723,1.0,-0.0008103847503662,0.9935280830959723,0.0,-0.0,0.996753215789795,0.0,-0.0,0.996753215789795
2025-10-17 18:00:00,0.0,1.0,0.0,0.9935280830959723,1.0,0.0,0.9935280830959723,0.0,0.0,0.996753215789795,0.0,0.0,0.996753215789795
2025-10-17 19:00:00,0.0016220808029174,1.0,0.0016220808029174,0.9951396659267217,1.0,0.0016220808029174,0.9951396659267217,0.0,0.0,0.996753215789795,0.0,0.0,0.996753215789795
2025-10-20 13:00:00,-0.002429187297821,1.0,-0.002429187297821,0.9927222852906946,1.0,-0.002429187297821,0.9927222852906946,1.0,-0.002429187297821,0.9943319155389362,1.0,-0.002429187297821,0.9943319155389362
2025-10-20 14:00:00,0.0056818723678588,-1.0,-0.0056818723678588,0.9870817639689438,-1.0,-0.0056818723678588,0.9870817639689438,-1.0,-0.0056818723678588,0.9886822485035555,-1.0,-0.0056818723678588,0.9886822485035555
2025-10-20 15:00:00,0.004035472869873,-1.0,-0.004035472869873,0.9830984222901007,-1.0,-0.004035472869873,0.9830984222901007,-1.0,-0.004035472869873,0.9846924481127943,-1.0,-0.004035472869873,0.9846924481127943
2025-10-20 16:00:00,-0.0016076564788818,-1.0,0.0016076564788818,0.9846789068380739,-1.0,0.0016076564788818,0.9846789068380739,-1.0,0.0016076564788818,0.9862754953067089,-1.0,0.0016076564788818,0.9862754953067089
2025-10-20 17:00:00,-0.0016103386878967,-1.0,0.0016103386878967,0.9862645733769111,-1.0,0.0016103386878967,0.9862645733769111,-1.0,0.0016103386878967,0.9878637328937258,-1.0,0.0016103386878967,0.9878637328937258
2025-10-20 18:00:00,-0.0032258033752441,-1.0,0.0032258033752441,0.989446068966594,-1.0,0.0032258033752441,0.989446068966594,-1.0,0.0032258033752441,0.9910503870575756,-1.0,0.0032258033752441,0.9910503870575756
2025-10-20 19:00:00,-0.0048543214797973,-1.0,0.0048543214797973,0.9942491582722797,-1.0,0.0048543214797973,0.9942491582722797,-1.0,0.0048543214797973,0.9958612642390308,-1.0,0.0048543214797973,0.9958612642390308
2025-10-21 13:00:00,-0.0008130073547363,-1.0,0.0008130073547363,0.9950574901503955,-1.0,0.0008130073547363,0.9950574901503955,-1.0,0.0008130073547363,0.9966709067711541,-1.0,0.0008130073547363,0.9966709067711541
2025-10-21 14:00:00,-0.0032546520233154,1.0,-0.0032546520233154,0.9918189242767623,1.0,-0.0032546520233154,0.9918189242767623,1.0,-0.0032546520233154,0.9934270897878518,1.0,-0.0032546520233154,0.9934270897878518
2025-10-21 15:00:00,0.0024489164352416,1.0,0.0024489164352416,0.9942478059412074,1.0,0.0024489164352416,0.9942478059412074,1.0,0.0024489164352416,0.9958599097152475,1.0,0.0024489164352416,0.9958599097152475
2025-10-21 16:00:00,-0.0024429559707641,1.0,-0.0024429559707641,0.9918189023272643,1.0,-0.0024429559707641,0.9918189023272643,1.0,-0.0024429559707641,0.9934270678027641,1.0,-0.0024429559707641,0.9934270678027641
2025-10-21 17:00:00,0.0008163452148437,1.0,0.0008163452148437,0.9926285689421708,1.0,0.0008163452148437,0.9926285689421708,1.0,0.0008163452148437,0.9942380472358612,1.0,0.0008163452148437,0.9942380472358612
2025-10-21 18:00:00,-0.0048940181732177,1.0,-0.0048940181732177,0.9877706266865127,1.0,-0.0048940181732177,0.9877706266865127,1.0,-0.0048940181732177,0.9893722281641845,1.0,-0.0048940181732177,0.9893722281641845
2025-10-21 19:00:00,-0.0032786726951599,1.0,-0.0032786726951599,0.9845320501037147,1.0,-0.0032786726951599,0.9845320501037147,1.0,-0.0032786726951599,0.986128400454353,1.0,-0.0032786726951599,0.986128400454353
2025-10-22 13:00:00,0.0008224248886108,0.0,0.0,0.9845320501037147,0.0,0.0,0.9845320501037147,0.0,0.0,0.986128400454353,0.0,0.0,0.986128400454353
2025-10-22 14:00:00,0.0,1.0,0.0,0.9845320501037147,1.0,0.0,0.9845320501037147,1.0,0.0,0.986128400454353,1.0,0.0,0.986128400454353
2025-10-22 15:00:00,-0.0008217096328735,1.0,-0.0008217096328735,0.9837230506342718,1.0,-0.0008217096328735,0.9837230506342718,1.0,-0.0008217096328735,0.9853180892484495,1.0,-0.0008217096328735,0.9853180892484495
2025-10-22 16:00:00,-0.0049341917037963,1.0,-0.0049341917037963,0.978869172518999,1.0,-0.0049341917037963,0.978869172518999,1.0,-0.0049341917037963,0.9804563409068795,1.0,-0.0049341917037963,0.9804563409068795
2025-10-22 17:00:00,0.000826358795166,1.0,0.000826358795166,0.9796780696690269,1.0,0.000826358795166,0.9796780696690269,1.0,0.000826358795166,0.9812665496274642,1.0,0.000826358795166,0.9812665496274642
2025-10-22 18:00:00,-0.0008257031440734,1.0,-0.0008257031440734,0.9788691464067215,1.0,-0.0008257031440734,0.9788691464067215,1.0,-0.0008257031440734,0.9804563147522628,1.0,-0.0008257031440734,0.9804563147522628
2025-10-22 19:00:00,0.000826358795166,1.0,0.000826358795166,0.9796780435351714,1.0,0.000826358795166,0.9796780435351714,1.0,0.000826358795166,0.9812665234512344,1.0,0.000826358795166,0.9812665234512344
2025-10-23 13:00:00,-0.0057803392410278,1.0,-0.0057803392410278,0.9740151720965516,1.0,-0.0057803392410278,0.9740151720965516,1.0,-0.0057803392410278,0.9755944700598224,1.0,-0.0057803392410278,0.9755944700598224
