view_date,ret_est_portfolio,ret_real_portfolio,ret_selic_benchmark,capital_est,capital_real,capital_selic,capital_est_brl,capital_real_brl,capital_selic_brl,ganho_est_acum_pct,ganho_real_acum_pct,ganho_selic_acum_pct,mode
2025-01-03,-0.0011085224946379498,-0.01946189156322536,0.0005547647074928275,0.998891477505362,0.9805381084367747,1.0005547647074928,99889.1477505362,98053.81084367746,100055.47647074929,-0.11085224946379979,-1.9461891563225309,0.05547647074928275,monthly
2025-01-06,-0.0014967654442061779,0.00990321052336815,0.0005547647074928275,0.9973963712593199,0.9902485837508092,1.0011098371788663,99739.63712593199,99024.85837508092,100110.98371788663,-0.26036287406800973,-0.9751416249190847,0.11098371788662575,monthly
2025-01-07,6.320499595005435e-05,0.00608992758964059,0.0005547647074928275,0.9974594116929261,0.9962791259215958,1.001665217584857,99745.94116929261,99627.91259215958,100166.5217584857,-0.2540588307073932,-0.3720874078404157,0.16652175848570483,monthly
2025-01-08,-0.00016565002943085894,-0.011699370223955917,0.0005547647074928275,0.9972941825120231,0.9846232875810399,1.0022209060962963,99729.41825120231,98462.32875810399,100222.09060962964,-0.2705817487976936,-1.5376712418960103,0.22209060962963267,monthly
2025-01-09,-0.00036147652992666375,-0.0023974796021330675,0.0005547647074928275,0.9969336840716125,0.9822626733332791,1.00277690288411,99693.36840716125,98226.26733332791,100277.690288411,-0.3066315928387464,-1.7737326666720898,0.2776902884110033,monthly
2025-01-10,-0.0003547088778560431,-0.006943213859449017,0.0005547647074928275,0.9965800628432386,0.975442613526172,1.0033332081193191,99658.00628432387,97544.2613526172,100333.32081193192,-0.34199371567613657,-2.455738647382799,0.3333208119319142,monthly
2025-01-13,-0.0007358281826353404,0.0034231272353498275,0.0005547647074928275,0.9958467511467461,0.9787816777030542,1.0038898219730392,99584.67511467461,97878.16777030543,100388.98219730392,-0.4153248853253855,-2.1218322296945757,0.38898219730392203,monthly
2025-01-14,-0.0007786225791897698,0.006381146238007965,0.0005547647074928275,0.9950713623808904,0.9850274267235601,1.004446744616481,99507.13623808905,98502.74267235602,100444.67446164812,-0.4928637619109555,-1.497257327643986,0.4446744616481091,monthly
2025-01-15,-0.0003027404510123784,0.025913090943264536,0.0005547647074928275,0.9947701140278538,1.0105525320138575,1.0050039762209504,99477.01140278537,101055.25320138576,100500.39762209504,-0.5229885972146242,1.055253201385753,0.500397622095039,monthly
2025-01-16,-0.0013314875994794072,-0.005584989384256313,0.0005547647074928275,0.993445589956693,1.0049086068503268,1.0055615169578478,99344.5589956693,100490.86068503268,100556.15169578478,-0.6554410043307035,0.4908606850326791,0.556151695784779,monthly
