view_date,capital_daily_brl,ganho_daily_pct,capital_real_daily_brl,ganho_real_daily_pct,capital_weekly_brl,ganho_weekly_pct,capital_real_weekly_brl,ganho_real_weekly_pct,capital_monthly_brl,ganho_monthly_pct,capital_real_monthly_brl,ganho_real_monthly_pct,capital_mkv_daily_brl,ganho_mkv_daily_pct,capital_mkv_weekly_brl,ganho_mkv_weekly_pct,capital_mkv_monthly_brl,ganho_mkv_monthly_pct,capital_selic_brl,ganho_selic_acum_pct
2025-01-03,99923.50439526651,-0.07649560473348416,97996.04471818799,-2.0039552818120088,99923.50439526651,-0.07649560473348416,97996.04471818799,-2.0039552818120088,99923.50439526651,-0.07649560473348416,97996.04471818799,-2.0039552818120088,98202.84105021978,-1.7971589497802198,98202.84105021978,-1.7971589497802198,98202.84105021978,-1.7971589497802198,100055.47647074929,0.05547647074928275
2025-01-06,99858.12610344072,-0.14187389655927474,99473.00801197324,-0.5269919880267482,99862.18532906225,-0.13781467093775257,99182.82170124656,-0.8171782987534404,99862.18532906225,-0.13781467093775257,99182.82170124656,-0.8171782987534404,99333.02198850655,-0.6669780114934576,99333.02198850655,-0.6669780114934576,99333.02198850655,-0.6669780114934576,100110.98371788663,0.11098371788662575
2025-01-07,99794.32179416461,-0.2056782058353912,100168.40169386355,0.1684016938635402,99798.37842614556,-0.20162157385443802,99876.18675515943,-0.12381324484056488,99802.08701814096,-0.1979129818590386,100091.53012537924,0.09153012537923555,100315.73271217376,0.3157327121737552,100315.73271217376,0.3157327121737552,100315.73271217376,0.3157327121737552,100166.5217584857,0.16652175848570483
2025-01-08,99743.08325743541,-0.2569167425645835,99041.11094489171,-0.9588890551082807,99747.13780657355,-0.2528621934264508,98752.18458014449,-1.2478154198555136,99751.77376662551,-0.24822623337448224,98836.34990021032,-1.1636500997896815,99203.22000486689,-0.7967799951331123,99203.22000486689,-0.7967799951331123,99203.22000486689,-0.7967799951331123,100222.09060962964,0.22209060962963267
2025-01-09,99677.87707366762,-0.32212292633237993,98779.3502778272,-1.2206497221728063,99680.80997518502,-0.3191900248149748,98601.58845982062,-1.3984115401793784,99687.32623329376,-0.3126737667062396,98566.3855658353,-1.4336144341646984,99047.63497192593,-0.9523650280740759,99047.63497192593,-0.9523650280740759,99047.63497192593,-0.9523650280740759,100277.690288411,0.2776902884110033
2025-01-10,99637.55249022935,-0.362447509770647,97979.88902860803,-2.020110971391975,99639.08355434288,-0.36091644565711123,98018.37613704357,-1.9816238629564276,99648.65287940849,-0.3513471205915053,97596.82942593553,-2.4031705740644616,98174.60033181528,-1.825399668184724,98174.60033181528,-1.825399668184724,98174.60033181528,-1.825399668184724,100333.32081193192,0.3333208119319142
2025-01-13,99585.12124817875,-0.414878751821246,98326.50171606087,-1.6734982839391344,99585.36257402539,-0.4146374259746066,98281.89083680292,-1.718109163197079,99597.97229599737,-0.40202770400262766,98007.23404564819,-1.9927659543518161,98522.77930210905,-1.4772206978909574,98522.77930210905,-1.4772206978909574,98522.77930210905,-1.4772206978909574,100388.98219730392,0.38898219730392203
2025-01-14,99459.66984027872,-0.5403301597212917,99397.41672283696,-0.602583277163038,99459.91086211742,-0.5400891378825823,99352.31996785651,-0.6476800321434828,99470.18622820324,-0.529813771796761,98626.23731061011,-1.3737626893898902,99339.93365038699,-0.6600663496130199,99339.93365038699,-0.6600663496130199,99339.93365038699,-0.6600663496130199,100444.67446164812,0.4446744616481091
2025-01-15,99404.37861815897,-0.5956213818410383,102101.63200538662,2.101632005386622,99409.97149950586,-0.5900285004941441,102269.38543010753,2.269385430107529,99416.23213060222,-0.5837678693977777,101310.74628074157,1.3107462807415704,102003.5012466071,2.003501246607109,102003.5012466071,2.003501246607109,102003.5012466071,2.003501246607109,100500.39762209504,0.500397622095039
2025-01-16,99310.64277267693,-0.689357227323073,101160.54178180007,1.160541781800073,99319.73891686348,-0.680261083136513,102091.66906797445,2.0916690679744443,99323.30454576283,-0.6766954542371639,100453.47416053625,0.4534741605362491,101328.44582423609,1.3284458242360797,101328.44582423609,1.3284458242360797,101328.44582423609,1.3284458242360797,100556.15169578478,0.556151695784779
2025-01-17,99263.4659934564,-0.7365340065435988,101927.14848659938,1.9271484865993838,99276.08949807295,-0.7239105019270498,102814.9086936641,2.8149086936640977,99276.73642927536,-0.7232635707246415,101227.33506471958,1.2273350647195702,101926.3051071608,1.9263051071608084,101926.3051071608,1.9263051071608084,101926.3051071608,1.9263051071608084,100611.9366998669,0.6119366998668996
2025-01-20,99207.12676818777,-0.79287323181223,102075.66478883446,2.0756647888344526,99228.89451006461,-0.7711054899353975,103129.44740551681,3.1294474055168164,99221.10291153718,-0.7788970884628155,101386.55860865948,1.3865586086594828,102107.98278435272,2.1079827843527132,102107.98278435272,2.1079827843527132,102107.98278435272,2.1079827843527132,100667.7526515005,0.6677526515004972
2025-01-21,99194.47113198602,-0.8055288680139827,102591.59637440037,2.5915963744003623,99216.23609699962,-0.7837639030003785,103650.70523350681,3.6507052335068124,99210.24405542476,-0.7897559445752433,101796.92646005824,1.7969264600582457,102622.0774390692,2.6220774390691926,102622.0774390692,2.6220774390691926,102622.0774390692,2.6220774390691926,100723.59956785417,0.7235995678541718
2025-01-22,99184.09911669734,-0.815900883302656,101401.18051308661,1.4011805130866195,99205.86180591324,-0.7941381940867576,102448.00006167158,2.4480000616715847,99201.35490096272,-0.7986450990372762,100348.67169172577,0.34867169172576595,101704.30731497859,1.7043073149785926,101704.30731497859,1.7043073149785926,101704.30731497859,1.7043073149785926,100779.47746610605,0.7794774661060488
2025-01-23,99180.3223388204,-0.8196776611795964,101446.35656533155,1.4463565653315413,99202.08419934659,-0.7979158006534148,102493.64249087956,2.493642490879555,99199.82587947596,-0.8001741205240331,100113.4091060796,0.11340910607959831,101884.50802215432,1.8845080221543187,101884.50802215432,1.8845080221543187,101884.50802215432,1.8845080221543187,100835.38636344383,0.8353863634438241
2025-01-24,99239.66957632729,-0.7603304236727171,101164.11784161124,1.164117841611234,99261.4444586533,-0.7385555413466971,102208.49006327668,2.20849006327668,99270.84285044782,-0.7291571495521842,99814.19588771544,-0.18580411228455995,101541.7225261094,1.5417225261094014,101541.7225261094,1.5417225261094014,101541.7225261094,1.5417225261094014,100891.32627706467,0.8913262770646746
2025-01-27,99278.44717277204,-0.7215528272279559,103939.05895384745,3.939058953847452,99277.80001061963,-0.7221999893803788,104707.09995338506,4.707099953385052,99289.03583819457,-0.7109641618054274,102119.39121472648,2.119391214726485,104187.72880405336,4.187728804053359,104187.72880405336,4.187728804053359,104187.72880405336,4.187728804053359,100947.29722417533,0.9472972241753252
2025-01-28,99314.43489127533,-0.6855651087246617,103473.94803513271,3.4739480351327012,99313.78749453131,-0.6862125054686863,104238.55217216162,4.238552172161625,99302.73566526597,-0.6972643347340379,101604.23099295645,1.6042309929564569,103655.338520137,3.655338520136997,103655.338520137,3.655338520136997,103655.338520137,3.655338520136997,101003.2992219921,1.0032992219920933
2025-01-29,99329.82445042978,-0.6701755495702177,102914.33584635307,2.9143358463530777,99329.1769533665,-0.6708230466334952,103674.80481890052,3.6748048189005234,99311.76727991196,-0.6882327200880334,101063.59898470483,1.0635989847048277,103121.68024144338,3.1216802414433698,103121.68024144338,3.1216802414433698,103121.68024144338,3.1216802414433698,101059.3322877408,1.0593322877407996
2025-01-30,99303.48416611199,-0.6965158338880117,105758.23105606137,5.758231056061369,99306.43741445642,-0.6935625855435723,106651.51896650475,6.651518966504755,99285.09238785513,-0.7149076121448772,104342.00109234387,4.342001092343861,106038.02988621463,6.038029886214624,106038.02988621463,6.038029886214624,106038.02988621463,6.038029886214624,101115.39643865684,1.115396438656835
2025-01-31,99297.64613258182,-0.7023538674181817,105189.97949010982,5.1899794901098195,99306.85239978434,-0.6931476002156489,106168.05038981263,6.168050389812629,99280.16496808366,-0.7198350319163493,103656.90713274469,3.656907132744691,105493.74939645984,5.493749396459835,105493.74939645984,5.493749396459835,105493.74939645984,5.493749396459835,101171.49169198514,1.1714916919851381
2025-02-03,99284.64488455323,-0.7153551154467697,104807.24518136898,4.807245181368991,99298.69513138993,-0.7013048686100642,105793.36948512608,5.793369485126076,99267.39230943173,-0.7326076905682766,103237.54307115207,3.2375430711520714,105093.00034536856,5.09300034536857,105093.00034536856,5.09300034536857,105093.00034536856,5.09300034536857,101227.61806498026,1.2276180649802626
