view_date,ret_est_portfolio,ret_real_portfolio,ret_selic_benchmark,capital_est,capital_real,capital_selic,capital_est_brl,capital_real_brl,capital_selic_brl,ganho_est_acum_pct,ganho_real_acum_pct,ganho_selic_acum_pct,mode
2025-01-03,-0.0011093021506897122,0.05570095663571385,0.0005547647074928275,0.9988906978493103,1.0557009566357138,1.0005547647074928,99889.06978493102,105570.09566357138,100055.47647074929,-0.11093021506897172,5.570095663571384,0.05547647074928275,daily
2025-01-06,-0.0015304052372782269,0.058721078494243066,0.0005547647074928275,0.9973619902938532,1.117692855376767,1.0011098371788663,99736.19902938532,111769.28553767671,100110.98371788663,-0.26380097061468044,11.76928553767671,0.11098371788662575,daily
2025-01-07,6.743423372258067e-05,0.034647194657573294,0.0005547647074928275,0.9974292466354127,1.1564177773043849,1.001665217584857,99742.92466354127,115641.7777304385,100166.5217584857,-0.25707533645873415,15.641777730438488,0.16652175848570483,daily
2025-01-08,-0.00013077805830990997,0.04021591762552325,0.0005547647074928275,0.9972988047752362,1.2029241793771488,1.0022209060962963,99729.88047752362,120292.41793771488,100222.09060962964,-0.2701195224763753,20.29241793771488,0.22209060962963267,daily
2025-01-09,-0.00014474222979392825,0.054011775628886524,0.0005547647074928275,0.9971544535224623,1.2678962502522297,1.00277690288411,99715.44535224623,126789.62502522298,100277.690288411,-0.28455464775376527,26.789625025222975,0.2776902884110033,daily
2025-01-10,-0.00030367717793241,0.05332412428549764,0.0005547647074928275,0.9968516404720539,1.335505707481796,1.0033332081193191,99685.16404720538,133550.5707481796,100333.32081193192,-0.3148359527946121,33.550570748179595,0.3333208119319142,daily
2025-01-13,-0.00097176990159166,0.09224149701701843,0.0005547647074928275,0.9958829300514909,1.4586947532146892,1.0038898219730392,99588.29300514908,145869.47532146893,100388.98219730392,-0.41170699485091333,45.869475321468926,0.38898219730392203,daily
2025-01-14,-0.0007282613265304683,0.055079875024169556,0.0005547647074928275,0.9951576670277825,1.5390394779201664,1.004446744616481,99515.76670277826,153903.94779201664,100444.67446164812,-0.4842332972217478,53.90394779201664,0.4446744616481091,daily
2025-01-15,-0.00025108018371222,0.017032124123116117,0.0005547647074928275,0.9949078026579226,1.5652525893384786,1.0050039762209504,99490.78026579226,156525.25893384786,100500.39762209504,-0.5092197342077442,56.52525893384785,0.500397622095039,daily
2025-01-16,-0.00076215597855045,0.039529222287226835,0.0005547647074928275,0.9941495277280203,1.6271258068780965,1.0055615169578478,99414.95277280203,162712.58068780965,100556.15169578478,-0.5850472271979656,62.71258068780965,0.556151695784779,daily
2025-01-17,-0.0011473789537056814,0.026294464439481954,0.0005547647074928275,0.9930088614830688,1.6699102085456161,1.006119366998669,99300.88614830688,166991.02085456162,100611.9366998669,-0.6991138516931228,66.99102085456161,0.6119366998668996,daily
2025-01-20,-0.0010487874220240208,0.028267825688383957,0.0005547647074928275,0.991967406279187,1.7171149392360365,1.006677526515005,99196.7406279187,171711.49392360364,100667.7526515005,-0.8032593720812997,71.71149392360365,0.6677526515004972,daily
2025-01-21,-0.0003075689882183582,0.012231002851488145,0.0005547647074928275,0.9916623078676922,1.7381169769541651,1.0072359956785417,99166.23078676921,173811.69769541651,100723.59956785417,-0.8337692132307839,73.81169769541651,0.7235995678541718,daily
2025-01-22,-3.653800345293499e-05,0.04349334130128766,0.0005547647074928275,0.9916260745068631,1.813713491854395,1.0077947746610605,99162.60745068631,181371.3491854395,100779.47746610605,-0.8373925493136869,81.37134918543948,0.7794774661060488,daily
2025-01-23,0.0012045993605653675,0.05483771893929625,0.0005547647074928275,0.992820586642134,1.9131734025571159,1.0083538636344382,99282.0586642134,191317.34025571158,100835.38636344383,-0.7179413357865982,91.31734025571158,0.8353863634438241,daily
2025-01-24,0.0030140790782528445,0.04060283652793248,0.0005547647074928275,0.9958130264007908,1.9908536694707308,1.0089132627706467,99581.30264007908,199085.36694707308,100891.32627706467,-0.4186973599209165,99.08536694707308,0.8913262770646746,daily
2025-01-27,0.0005356952860088303,0.02338900246978936,0.0005547647074928275,0.9963464787447798,2.037417750862971,1.0094729722417533,99634.64787447797,203741.7750862971,100947.29722417533,-0.3653521255220227,103.7417750862971,0.9472972241753252,daily
2025-01-28,0.004056936371624909,0.02035279296818572,0.0005547647074928275,1.00038859301314,2.0788848925359917,1.010032992219921,100038.859301314,207888.48925359917,101003.2992219921,0.038859301313998174,107.88848925359918,1.0032992219920933,daily
2025-01-29,-0.00010269029803460387,0.02717809185548046,0.0005547647074928275,1.000285862810373,2.1353850171023057,1.010593322877408,100028.58628103731,213538.50171023057,101059.3322877408,0.028586281037301653,113.53850171023056,1.0593322877407996,daily
2025-01-30,0.0017112805715054748,0.027985998311544438,0.0005547647074928275,1.001997632573352,2.195145898585428,1.0111539643865683,100199.7632573352,219514.5898585428,101115.39643865684,0.19976325733519484,119.51458985854279,1.115396438656835,daily
2025-01-31,-0.0005433051297790804,0.01968129529863455,0.0005547647074928275,1.0014532421195483,2.2383492132390743,1.0117149169198514,100145.32421195484,223834.92132390745,101171.49169198514,0.1453242119548337,123.83492132390744,1.1714916919851381,daily
2025-02-03,0.0008508289528928452,0.05383931868135531,0.0005547647074928275,1.002305307532912,2.3588604098508137,1.0122761806498026,100230.5307532912,235886.04098508137,101227.61806498026,0.23053075329120265,135.88604098508137,1.2276180649802626,daily
2025-02-04,6.07094711318409e-05,0.03063620810306567,0.0005547647074928275,1.0023661569580449,2.431126948253086,1.0128377557490629,100236.61569580449,243112.69482530863,101283.77557490629,0.23661569580448738,143.1126948253086,1.2837755749062874,daily
2025-02-05,0.0038497002710505,0.05940035139913313,0.0005547647074928275,1.006224966224178,2.5755367432752214,1.0133996423903686,100622.4966224178,257553.67432752214,101339.96423903687,0.6224966224178008,157.55367432752215,1.3399642390368616,daily
2025-02-06,0.002153953511478525,0.015932235205703464,0.0005547647074928275,1.0083923280235139,2.6165708004500137,1.0139618407465527,100839.23280235138,261657.08004500138,101396.18407465528,0.8392328023513862,161.65708004500138,1.3961840746552712,daily
2025-02-07,0.0013956528737015899,0.02370941695369617,0.0005547647074928275,1.0097996936739384,2.6786081685467495,1.0145243509905433,100979.96936739385,267860.81685467495,101452.43509905433,0.9799693673938403,167.86081685467497,1.4524350990543278,daily
2025-02-10,-0.00019272495720854397,0.0022964248019895555,0.0005547647074928275,1.0096050800711858,2.684759390779812,1.0150871732953648,100960.50800711858,268475.9390779812,101508.71732953648,0.9605080071185768,168.47593907798122,1.5087173295364797,daily
2025-02-11,-0.0003053607039565415,0.1082322247304612,0.0005547647074928275,1.0092967863532172,2.975336872509909,1.0156503078341377,100929.67863532172,297533.68725099094,101565.03078341376,0.9296786353217179,197.5336872509909,1.5650307834137678,daily
2025-02-12,0.0010908268712504947,0.1290715052599272,0.0005547647074928275,1.0103977544088378,3.359368081300127,1.0162137547800782,101039.77544088378,335936.8081300127,101621.37547800783,1.0397754408837834,235.9368081300127,1.6213754780078249,daily
2025-02-13,0.0016377598633896648,0.08028008313390007,0.0005547647074928275,1.0120525432970677,3.629058430144272,1.016777514306499,101205.25432970678,362905.84301442717,101677.75143064989,1.205254329706773,262.9058430144272,1.6777514306498986,daily
2025-02-14,0.00081152683225256,0.06085046241568248,0.0005547647074928275,1.0128738510916029,3.8498883137520816,1.0173415865868085,101287.38510916028,384988.83137520816,101734.15865868086,1.2873851091602884,284.9888313752082,1.734158658680851,daily
2025-02-17,0.0011063344192843094,0.023116682629674132,0.0005547647074928275,1.0139944282954585,3.9388849600607796,1.0179059717945116,101399.44282954585,393888.49600607797,101790.59717945116,1.3994428295458494,293.88849600607796,1.7905971794511588,daily
2025-02-18,0.0007470784451931036,0.06509515457331273,0.0005547647074928275,1.0147519616763838,4.195287285382433,1.0184706701032094,101475.19616763838,419528.7285382433,101847.06701032094,1.4751961676383818,319.5287285382433,1.8470670103209352,daily
2025-02-19,0.00091965880135539,0.07207784670114172,0.0005547647074928275,1.0156851872491321,4.497674559205477,1.019035681686599,101568.51872491321,449767.45592054777,101903.56816865991,1.5685187249132149,349.7674559205477,1.9035681686599082,daily
2025-02-20,0.0006804334859603849,0.07369586722289495,0.0005547647074928275,1.0163762934617304,4.829134586332477,1.0196010067184746,101637.62934617304,482913.45863324765,101960.10067184747,1.6376293461730418,382.91345863324767,1.9601006718474645,daily
2025-02-21,0.0004135542473507877,0.06152643490813028,0.0005547647074928275,1.016796620194798,5.1262540211210625,1.0201666453727263,101679.6620194798,512625.40211210627,102016.66453727263,1.6796620194797995,412.62540211210626,2.0166645372726277,daily
2025-02-24,-0.000894971241307225,0.0913329900816966,0.0005547647074928275,1.0158866164614653,5.5944501287883694,1.0207325978233404,101588.66164614653,559445.012878837,102073.25978233403,1.5886616461465275,459.44501287883696,2.073259782334036,daily
2025-02-25,0.00019981351830475824,0.09640656463295974,0.0005547647074928275,1.0160896043404992,6.133791846715275,1.0212988642444003,101608.96043404992,613379.1846715275,102129.88642444003,1.608960434049922,513.3791846715275,2.1298864244400306,daily
2025-02-26,0.00260510804072921,0.054856518490814396,0.0005547647074928275,1.018736627538868,6.470270312573418,1.0218654448100857,101873.6627538868,647027.0312573418,102186.54448100856,1.8736627538868067,547.0270312573418,2.1865444810085677,daily
2025-02-27,0.0017886342437835024,0.0719033270569356,0.0005547647074928275,1.0205587747562805,6.935504275005165,1.0224323396946728,102055.87747562805,693550.4275005165,102243.23396946728,2.055877475628054,593.5504275005165,2.2432339694672843,daily
2025-02-28,0.0006369800133276451,0.10135860422389883,0.0005547647074928275,1.0212088502982264,7.6384773079085715,1.0229995490725348,102120.88502982265,763847.7307908571,102299.95490725347,2.120885029822639,663.8477307908571,2.2999549072534764,daily
