date,open,high,low,close,volume,ticker,ibov_close,log_ret,ibov_log_ret,spread_retorno_3d,dist_sma_3d,spread_vol_3d,beta_3d,spread_volratio_3d,z_alpha_3d,trend_mercado_3d,risco_mercado_3d,z_mercado_3d,spread_retorno_5d,dist_sma_5d,spread_vol_5d,beta_5d,spread_volratio_5d,z_alpha_5d,trend_mercado_5d,risco_mercado_5d,z_mercado_5d,spread_retorno_14d,dist_sma_14d,spread_vol_14d,beta_14d,spread_volratio_14d,z_alpha_14d,trend_mercado_14d,risco_mercado_14d,z_mercado_14d,spread_retorno_21d,dist_sma_21d,spread_vol_21d,beta_21d,spread_volratio_21d,z_alpha_21d,trend_mercado_21d,risco_mercado_21d,z_mercado_21d,spread_retorno_42d,dist_sma_42d,spread_vol_42d,beta_42d,spread_volratio_42d,z_alpha_42d,trend_mercado_42d,risco_mercado_42d,z_mercado_42d,spread_retorno_63d,dist_sma_63d,spread_vol_63d,beta_63d,spread_volratio_63d,z_alpha_63d,trend_mercado_63d,risco_mercado_63d,z_mercado_63d
2018-01-02,21.561418425181785,21.955866785074218,20.897784625760167,21.134986877441406,6671335,MGLU3,77891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,21.055034196258827,21.684018677980514,20.660583979564773,20.86846923828125,4645974,MGLU3,77995.0,-0.012690442198167362,0.0013343086028245296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,21.321551048191715,21.46013937872735,21.1349861114731,21.369524002075195,5381326,MGLU3,78647.0,0.02372642403580033,0.008324763031459105,,0.005603922985198739,,,-0.1330937141229288,,,,1.1453651941020928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,21.44148577891297,21.564086181817974,20.881794559818207,20.94842529296875,3444695,MGLU3,79071.0,-0.019902316434210653,0.0053766979221980165,-0.02390210415305944,-0.011762658109085944,0.019877367856542903,4.7908663364470225,-0.11195545389616668,-0.8241321788404514,0.015035769556481803,0.003509474139541046,0.9224903838258653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,20.921772768916245,21.35086683978788,20.881792871338693,20.95108795166016,3232747,MGLU3,79379.0,0.00012709735692858853,0.0038876666194341118,-0.013637922614572754,-0.010957904817969433,0.01958052392641629,6.651444259596717,-0.06692678431389698,0.03859160009390441,0.017589127573091203,0.002258175025644176,0.9432370371426371,,-0.014866202727391475,,,-0.16991362331171456,,,,1.2003095028144823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,21.12166158028339,21.217607492063784,20.33542920868381,20.44736671447754,3482774,MGLU3,78864.0,-0.024336468707206082,-0.006508999680901259,-0.04686705264521891,-0.013073577207735942,0.00655865512330056,1.1019184560064934,-0.15656919701264083,-0.20179739328864307,0.0027553648607308713,0.0064753081251456,-0.9286936045937483,-0.04549014244186966,-0.023375005406602756,0.013696473567192342,2.4840327447623523,-0.26142563182961664,-0.5545931196897363,0.012414436495014579,0.005626906819385175,0.13985623506388903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,20.410055313809224,20.9217735515364,20.15952581333712,20.65525245666504,3902718,MGLU3,78201.0,0.010115536139526201,-0.008442414769733604,-0.003030087379550404,0.006368882188048097,0.011094086520419977,0.24471812405890064,0.1584766898528619,1.0664916553655066,-0.011063747831200845,0.00663148639861072,-1.0391487240498825,-0.012907440731617903,-0.0024857331561378704,0.01269288148474105,0.7510888801108024,0.08375221223992435,1.084688201104101,0.0026377131224563977,0.007509568058605169,-1.4209955748570078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,20.921775218182663,20.99639901235739,20.59128954553737,20.692567825317383,1994467,MGLU3,79365.0,0.0018049502260821502,0.01477502983091643,-0.012239597721879143,-0.0024704333968770253,0.005095809135089276,0.2980867761522558,-0.42445802454442827,-0.45002831817061817,-0.0001763846197185441,0.012882790458268376,0.9505445493002007,-0.041279181340793406,-0.00716154473306585,0.005409281683646502,0.14375026933641977,-0.5210734282177646,-0.27890348507488183,0.009087979921913656,0.00947955045048114,0.8041911787033147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,20.460695958030403,20.91111403017357,20.36208385785676,20.67124557495117,3057441,MGLU3,79349.0,-0.0010309616305667953,-0.00020162052565244885,0.004758530199511151,-0.004864012286571295,-0.00597745303613347,-0.29152607200572006,-0.07687795019646604,-0.1518982663172603,0.006130994535530411,0.011770446603396498,0.5653231480603612,-0.016829508089298995,-0.004608786875622051,0.0035965137991222137,0.31838504557869657,-0.1597786479720732,0.18065112681109027,0.0035096614740631055,0.009282160421237896,0.6193329306547195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,20.841818217514227,21.11633238105321,20.73520941018312,21.02838134765625,2253834,MGLU3,79752.0,0.017129386110198676,0.005065975221850596,-0.0017360098214004548,0.007793504635762227,0.002172376973530386,-0.030758137459298545,0.27330203948771314,1.009861557354294,0.019639384527114567,0.007597295157530839,1.1539907223327712,-0.0010055279384455092,0.007751028683770755,0.0063315483712972544,0.5186292771876352,0.12633400171223064,0.7849740168824032,0.0046879700764796,0.009397503572649414,1.0834919264405747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
