date,open,high,low,close,volume,ticker,ibov_close,spread_retorno_3d,dist_sma_3d,spread_vol_3d,beta_3d,spread_volratio_3d,z_alpha_3d,trend_mercado_3d,risco_mercado_3d,z_mercado_3d,spread_retorno_5d,dist_sma_5d,spread_vol_5d,beta_5d,spread_volratio_5d,z_alpha_5d,trend_mercado_5d,risco_mercado_5d,z_mercado_5d,spread_retorno_14d,dist_sma_14d,spread_vol_14d,beta_14d,spread_volratio_14d,z_alpha_14d,trend_mercado_14d,risco_mercado_14d,z_mercado_14d,spread_retorno_21d,dist_sma_21d,spread_vol_21d,beta_21d,spread_volratio_21d,z_alpha_21d,trend_mercado_21d,risco_mercado_21d,z_mercado_21d,spread_retorno_42d,dist_sma_42d,spread_vol_42d,beta_42d,spread_volratio_42d,z_alpha_42d,trend_mercado_42d,risco_mercado_42d,z_mercado_42d,spread_retorno_63d,dist_sma_63d,spread_vol_63d,beta_63d,spread_volratio_63d,z_alpha_63d,trend_mercado_63d,risco_mercado_63d,z_mercado_63d
2018-01-02,6.341595902550142,6.553824424743653,6.341595902550142,6.553824424743652,10790010,GGBR4,77891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,6.518450867233435,6.745838426950106,6.488132606896676,6.543715476989746,16546950,GGBR4,77995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,6.584140814739771,6.9631209475426665,6.584140814739771,6.897431373596191,34724214,GGBR4,78647.0,,0.028871491527811655,,,0.5786697129207894,,,,1.1453651941020928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,6.897431519094438,7.049023453975145,6.74078653995741,6.811529159545898,21679938,GGBR4,79071.0,0.02353211069219127,0.0026184243490108283,0.03138324676549935,7.1249016210735885,0.012519055958227998,-0.79313322929215,0.015035769556481803,0.003509474139541046,0.9224903838258653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,6.786264565090875,7.049024105072022,6.700362804798941,7.0490241050720215,19343772,GGBR4,79379.0,0.05679493495689001,0.014357610243223462,0.03134781957232486,6.666396846979604,-0.10506388719805637,0.3507138510823659,0.017589127573091203,0.002258175025644176,0.9432370371426371,,0.031090252199303503,,,0.0768663865438387,,,,1.2003095028144823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,7.049022671918705,7.210720070181384,6.958067278204924,7.089447021484375,44864316,GGBR4,78864.0,0.024702900893407747,0.0182376463415852,0.017115448836306148,0.04076357273331525,0.3821491627771454,0.16368649542105598,0.0027553648607308713,0.0064753081251456,-0.9286936045937483,0.06614414596357976,0.029784173415100312,0.02131676288370698,2.1301052539816796,0.5114519000255837,-0.040139500830787996,0.012414436495014579,0.005626906819385175,0.13985623506388903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,6.9984927188609385,7.12987248262297,6.8873257402240124,6.993439674377441,23351832,GGBR4,78201.0,0.03741962693179879,0.000612603461063288,0.01746901910182151,3.5056111969423593,-0.1440825209510055,-0.9930128753564772,-0.011063747831200845,0.00663148639861072,-1.0391487240498825,0.06382968722154703,0.011635226040719315,0.021807995089881287,2.4246207884784154,-0.108783512491199,-0.7085128321121875,0.0026377131224563977,0.007509568058605169,-1.4209955748570078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,7.028810104921029,7.56443452835083,7.028810104921029,7.56443452835083,21758436,GGBR4,79365.0,0.07074479823571835,0.04127699808539109,0.035689557071560865,3.740698552781832,-0.3368639679129717,1.12005915296307,-0.0001763846197185441,0.012882790458268376,0.9505445493002007,0.08322053852487925,0.06025149291530174,0.02926967348819872,3.159260075032397,-0.311630863654371,1.4711193704439294,0.009087979921913656,0.00947955045048114,0.8041911787033147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,7.503798007385906,7.771610522696301,7.387577401678811,7.56443452835083,30184938,GGBR4,79349.0,0.058719258157123796,0.021032731657540493,0.03794858278558251,4.122166329990956,0.1014746676876781,-0.505534780063868,0.006130994535530411,0.011770446603396498,0.5653231480603612,0.10133129342851242,0.039043984302975954,0.02730607132912557,3.763875856385639,-0.05346909717417758,-0.7201498305553753,0.0035096614740631055,0.009282160421237896,0.6193329306547195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,7.645284330413355,7.685709290769972,7.48863935470581,7.48863935470581,9233280,GGBR4,79752.0,0.04877521466741744,-0.010015186370790685,0.0408853606506399,5.723680484240751,-0.19941864297915712,-0.7510048320472187,0.019639384527114567,0.007597295157530839,1.1539907223327712,0.055809966932074774,0.012075900482364288,0.028510039581229822,3.1981996790494773,-0.2839409806835147,-0.8485978246634608,0.0046879700764796,0.009397503572649414,1.0834919264405747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
