date,open,high,low,close,volume,ticker,ibov_close,log_ret,ibov_log_ret,spread_retorno_3d,dist_sma_3d,spread_vol_3d,beta_3d,spread_volratio_3d,z_alpha_3d,trend_mercado_3d,risco_mercado_3d,z_mercado_3d,spread_retorno_5d,dist_sma_5d,spread_vol_5d,beta_5d,spread_volratio_5d,z_alpha_5d,trend_mercado_5d,risco_mercado_5d,z_mercado_5d,spread_retorno_14d,dist_sma_14d,spread_vol_14d,beta_14d,spread_volratio_14d,z_alpha_14d,trend_mercado_14d,risco_mercado_14d,z_mercado_14d,spread_retorno_21d,dist_sma_21d,spread_vol_21d,beta_21d,spread_volratio_21d,z_alpha_21d,trend_mercado_21d,risco_mercado_21d,z_mercado_21d,spread_retorno_42d,dist_sma_42d,spread_vol_42d,beta_42d,spread_volratio_42d,z_alpha_42d,trend_mercado_42d,risco_mercado_42d,z_mercado_42d,spread_retorno_63d,dist_sma_63d,spread_vol_63d,beta_63d,spread_volratio_63d,z_alpha_63d,trend_mercado_63d,risco_mercado_63d,z_mercado_63d
2018-01-02,10.866082871902194,10.953806239782184,10.79160042419339,10.877668380737305,2937471,EQTL3,77891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,10.877669109719063,11.018357748057202,10.80815289135977,10.899187088012695,2950987,EQTL3,77995.0,0.001976292152016676,0.0013343086028245296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,10.895745419895592,10.905693602685584,10.686850202503845,10.776376724243164,7768179,EQTL3,78647.0,-0.01133180931326108,0.008324763031459105,,-0.012887590661090798,,,0.6065843544828033,,,,1.1453651941020928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,10.77637770166189,11.016774068635616,10.715035185892631,10.88248348236084,4780649,EQTL3,79071.0,0.009798078567287751,0.0053766979221980165,-0.014593208150438276,-0.0036177093264091464,0.007173519114386835,-1.6739627439957017,0.04626345257629649,0.7171030614046449,0.015035769556481803,0.003509474139541046,0.9224903838258653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,10.879166280211964,11.02837714042596,10.8592714988501,11.02506160736084,4932328,EQTL3,79379.0,0.013016532659971615,0.0038876666194341118,-0.00610632565909295,0.0075847252754175365,0.010968517464901618,-5.723620076527493,-0.024721459505534615,0.7230395068982877,0.017589127573091203,0.002258175025644176,0.9432370371426371,,0.00224737734022451,,,0.19390812989166273,,,,1.2003095028144823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,11.03169267349108,11.09137780906225,10.899061853059402,11.02506160736084,5920496,EQTL3,78864.0,0.0,-0.006508999680901259,0.02005924636652849,0.007371773482571786,0.00030445235299280445,0.9817769001927875,-0.04880633752798191,-0.07521594442465068,0.0027553648607308713,0.0064753081251456,-0.9286936045937483,0.0010446575710004076,0.008546005121017108,0.0038799151583516107,-0.17236556238352913,-0.0007102381812762459,0.5463742433943342,0.012414436495014579,0.005626906819385175,0.13985623506388903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,10.897404693257652,10.96040537226528,10.852641427824407,10.940509796142578,5690724,EQTL3,78201.0,-0.007698614096640582,-0.008442414769733604,0.01638166639453175,0.0026603917002878674,0.003839235374067943,1.537304306002848,0.08778462239759366,-1.099546641705456,-0.011063747831200845,0.00663148639861072,-1.0391487240498825,0.0011464746949013485,0.008980234392925057,0.0030999443233630432,0.3189598557071414,0.05823050519861339,0.044616530993358175,0.0026377131224563977,0.007509568058605169,-1.4209955748570078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,10.942168234201016,11.051590343945316,10.86093172254498,11.005168914794922,3435059,EQTL3,79365.0,0.005892668584406491,0.01477502983091643,-0.0016295608925155933,-0.005684491285451898,-0.006067181327129586,0.4577829243048178,-0.3774513403253271,-1.0724284479428334,-0.0001763846197185441,0.012882790458268376,0.9505445493002007,0.011920685793111625,-0.002236702682643088,-0.0012462057302541282,0.6041472677316534,-0.4484244490930209,-1.6083476329041326,0.009087979921913656,0.00947955045048114,0.8041911787033147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,10.986930089193692,11.093036651611328,10.890771709552627,11.093036651611328,4281559,EQTL3,79349.0,0.007952519007353519,-0.00020162052565244885,1.5578959588927882e-05,0.002498063322701194,-0.003266291578547513,0.49765743824719144,-0.14315600287434294,0.9539597535163424,0.006130994535530411,0.011770446603396498,0.5653231480603612,0.015653444681027886,0.0028154807730542686,-0.0013257171894474895,0.5443705157185939,-0.25291522771688446,0.6733388560917329,0.0035096614740631055,0.009282160421237896,0.6193329306547195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,11.101326412858898,11.273748397827148,11.051589454019144,11.273748397827148,2217620,EQTL3,79752.0,0.016159289600773757,0.005065975221850596,0.010365092665419143,0.010150296987055052,-0.0021659421273357493,-0.2520806393969177,0.01748688382952157,0.7082263557839339,0.019639384527114567,0.007597295157530839,1.1539907223327712,0.01761789301941358,0.010471324142061311,-0.0004693585339516724,0.5984520899714799,-0.12609615491916792,0.958866346677149,0.0046879700764796,0.009397503572649414,1.0834919264405747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
