date,open,high,low,close,volume,ticker,ibov_close,spread_retorno_3d,dist_sma_3d,spread_vol_3d,beta_3d,spread_volratio_3d,z_alpha_3d,trend_mercado_3d,risco_mercado_3d,z_mercado_3d,spread_retorno_5d,dist_sma_5d,spread_vol_5d,beta_5d,spread_volratio_5d,z_alpha_5d,trend_mercado_5d,risco_mercado_5d,z_mercado_5d,spread_retorno_14d,dist_sma_14d,spread_vol_14d,beta_14d,spread_volratio_14d,z_alpha_14d,trend_mercado_14d,risco_mercado_14d,z_mercado_14d,spread_retorno_21d,dist_sma_21d,spread_vol_21d,beta_21d,spread_volratio_21d,z_alpha_21d,trend_mercado_21d,risco_mercado_21d,z_mercado_21d,spread_retorno_42d,dist_sma_42d,spread_vol_42d,beta_42d,spread_volratio_42d,z_alpha_42d,trend_mercado_42d,risco_mercado_42d,z_mercado_42d,spread_retorno_63d,dist_sma_63d,spread_vol_63d,beta_63d,spread_volratio_63d,z_alpha_63d,trend_mercado_63d,risco_mercado_63d,z_mercado_63d
2018-01-02,26.881577307920757,27.13040947773637,26.50832905319732,26.904903411865234,833087,SBSP3,77891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,26.66385090933974,26.90490672110275,26.42279815673828,26.42279815673828,773684,SBSP3,77995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,26.694959623766824,26.694959623766824,25.676304594692997,25.90958404541016,770075,SBSP3,78647.0,,-0.025041596678341493,,,-0.12790716650823264,,,,1.1453651941020928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,26.057324483868072,26.267274726809664,25.715181760990717,26.205066680908203,710981,SBSP3,79071.0,-0.04139154568360528,-0.005373682721577122,0.013936214183163738,0.22952327234996,0.06694730381658676,1.1204785778642004,0.015035769556481803,0.003509474139541046,0.9224903838258653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,26.16618745081268,26.741609573364254,25.69185225431876,26.741609573364254,672410,SBSP3,79379.0,-0.005595568278057336,0.012968838173633479,0.018672114067842086,-9.200850397941638,0.06556154201614717,0.7873422012135598,0.017589127573091203,0.002258175025644176,0.9432370371426371,,0.0015754081265428876,,,0.03272742818271124,,,,1.2003095028144823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,26.41502253890886,26.733836128235836,26.065103394040737,26.376140594482425,835047,SBSP3,78864.0,0.015091530668113778,0.000591699835636561,0.011168043580557226,2.5393072150626033,-0.05568905721518003,-1.0370443604820283,0.0027553648607308713,0.0064753081251456,-0.9286936045937483,-0.03226315331064081,0.0007888761409242662,0.012823069301240966,0.7201662877264828,-0.014245128824787345,-0.044237773210992655,0.012414436495014579,0.005626906819385175,0.13985623506388903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,25.948462045034884,26.24394950825993,25.761837901025157,25.84737205505371,476050,SBSP3,78201.0,-0.00268009453354124,-0.01023449203197524,0.015131888926809701,3.281806044388448,-0.22415627805269867,-0.7213298468871329,-0.011063747831200845,0.00663148639861072,-1.0391487240498825,-0.02465598268541095,-0.006050076957247352,0.011375636387960799,1.1022255023612098,-0.23278588074218198,-0.4047372792933466,0.0026377131224563977,0.007509568058605169,-1.4209955748570078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,25.73851374084883,26.197296272109902,25.57521873027215,26.18951988220215,749758,SBSP3,79365.0,-0.020685052463832808,-0.005058819009711613,0.004827777296036447,1.3665644610006729,0.029077541912513993,1.0331449522669252,-0.0001763846197185441,0.012882790458268376,0.9505445493002007,0.0016584057051287817,-0.008062805593380795,0.008469552177094419,1.599864410366442,-0.053695241276862316,-0.175330557475428,0.009087979921913656,0.00947955045048114,0.8041911787033147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,26.119536315781943,26.37614186555413,25.792943262669464,26.34503936767578,624970,SBSP3,79349.0,-0.00731083271201877,0.0035552998731909202,0.005802574909136946,1.322622990319979,-0.08815023065820493,0.9517721747574025,0.006130994535530411,0.011770446603396498,0.5653231480603612,0.0018175596609456496,-0.0023011651728910287,0.008128789528351214,1.534079333541322,-0.20483729807720752,0.5151804607135457,0.0035096614740631055,0.009282160421237896,0.6193329306547195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,26.275050864246584,26.53943582159557,26.13508199751344,26.36058807373047,244934,SBSP3,79752.0,2.1699707065409718e-05,-0.000947462587086001,-0.0012932275204413793,0.5837100881026535,-0.19852699428334458,-0.8174528745799452,0.019639384527114567,0.007597295157530839,1.1539907223327712,-0.019038714700288027,-0.0029449217541364092,0.004446345633024314,1.3307324399013505,-0.22286576224775745,-0.09969632764656784,0.0046879700764796,0.009397503572649414,1.0834919264405747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-16,26.51610794338354,26.65607681690482,26.111757158852733,26.49277877807617,736763,SBSP3,79832.0,0.0056459091114543,0.0011782331822820513,8.966116429687861e-05,-1.030745129681605,0.3232121719406147,0.37763840856825426,0.005866961557806688,0.0027600933254257067,0.7249312288340165,-0.007787215851530665,0.002650537920567686,0.004181334925277568,1.2610246443327664,0.28407523455394434,0.779160292524979,0.01219957661898937,0.008463449592451653,0.8159365235079613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-17,26.726056867755062,27.90800666809082,26.42279608878269,27.90800666809082,2544743,SBSP3,81189.0,0.03470970152282818,0.02507966248925908,0.020283091369911355,3.2800425214838342,0.9520335653256364,1.1306837109642,0.02292392551216882,0.008234170893435692,1.1532831541831605,0.03920735571731521,0.03067816163840731,0.013133141909553274,2.029171278295761,1.5007187738443717,1.7236007854383968,0.03749733481743275,0.007872484697123878,1.7115764806208686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-18,27.752489335432568,27.85357626631286,27.41034660079048,27.43367576599121,1124843,SBSP3,80963.0,0.02483084211817682,0.001961423295750997,0.02491003082290768,3.359238482179756,-0.2890711474809299,-0.903611412946297,0.01507044046818905,0.010420460042437739,0.4149137784176276,0.026477179881721706,0.010235593889120764,0.01791894884881075,3.123033215300808,-0.05688313556268643,-1.0589218235483726,0.01993479516438707,0.007731487207560935,0.92190601312528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-19,27.31703669256533,27.98576940057586,27.31703669256533,27.53476333618164,927864,SBSP3,81220.0,0.021340035066377574,-0.004467247072908798,0.025422199409981444,3.5241131552335885,-0.34153384722636826,-0.2597953414676049,0.01723709567614028,0.010071690011883834,0.6843017527202264,0.020863651926865383,0.006520261099729474,0.018327907874147866,3.3585993252447754,-0.22234251144987283,-0.19631385564134238,0.02330567775959953,0.007415447347838444,0.8533938964208421,,0.011573052966478592,,,0.0593396395505843,,,,1.6369776091274932,,,,,,,,,,,,,,,,,,,,,,,,,,,
