view_date,ticker,ret_7h_pred,ret_7h_real,abs_error,direction_hit,context_hours_available,context_hours_used,max_context_hours,context_start,context_end
2025-03-10,ABEV3,-0.018060028553009033,0.013703808188438416,0.03176383674144745,0,8144,8144,-1,2020-09-25 18:00:00,2025-03-10 13:00:00
2025-03-11,ABEV3,-0.008050818927586079,-0.022168686613440514,0.014117867685854435,1,8151,8151,-1,2020-09-25 18:00:00,2025-03-11 13:00:00
2025-03-12,ABEV3,-0.02002699300646782,0.011329416185617447,0.031356409192085266,0,8158,8158,-1,2020-09-25 18:00:00,2025-03-12 13:00:00
2025-03-13,ABEV3,-0.0372469499707222,0.01478280033916235,0.05202975030988455,0,8165,8165,-1,2020-09-25 18:00:00,2025-03-13 13:00:00
2025-03-14,ABEV3,-0.028774909675121307,0.02214902639389038,0.05092393606901169,0,8172,8172,-1,2020-09-25 18:00:00,2025-03-14 13:00:00
2025-03-17,ABEV3,-0.0030442553106695414,0.006116952281445265,0.009161207592114806,0,8179,8179,-1,2020-09-25 18:00:00,2025-03-17 13:00:00
2025-03-18,ABEV3,-0.019817190244793892,-0.008271816186606884,0.011545374058187008,1,8186,8186,-1,2020-09-25 18:00:00,2025-03-18 13:00:00
2025-03-19,ABEV3,-0.01253263559192419,0.014064125716686249,0.02659676130861044,0,8193,8193,-1,2020-09-25 18:00:00,2025-03-19 13:00:00
2025-03-20,ABEV3,-0.018269434571266174,-0.007760643493384123,0.010508791077882051,1,8200,8200,-1,2020-09-25 18:00:00,2025-03-20 13:00:00
2025-03-21,ABEV3,-0.017732486128807068,0.009268349036574364,0.02700083516538143,0,8207,8207,-1,2020-09-25 18:00:00,2025-03-21 13:00:00
2025-03-24,ABEV3,-0.021675504744052887,-0.009197697043418884,0.012477807700634003,1,8214,8214,-1,2020-09-25 18:00:00,2025-03-24 13:00:00
2025-03-25,ABEV3,-0.010167150758206844,-0.0018248168053105474,0.008342333952896297,1,8221,8221,-1,2020-09-25 18:00:00,2025-03-25 13:00:00
2025-03-26,ABEV3,-0.028237100690603256,-0.015460202470421791,0.012776898220181465,1,8228,8228,-1,2020-09-25 18:00:00,2025-03-26 13:00:00
2025-03-27,ABEV3,-0.03606727346777916,0.004699693061411381,0.04076696652919054,0,8235,8235,-1,2020-09-25 18:00:00,2025-03-27 13:00:00
2025-03-28,ABEV3,-0.03386501222848892,-0.0037926360964775085,0.030072376132011414,1,8242,8242,-1,2020-09-25 18:00:00,2025-03-28 13:00:00
2025-03-31,ABEV3,-0.02888667955994606,0.018565453588962555,0.047452133148908615,0,8249,8249,-1,2020-09-25 18:00:00,2025-03-31 13:00:00
2025-04-01,ABEV3,-0.01637832075357437,-0.00203744531609118,0.014340875437483191,1,8256,8256,-1,2020-09-25 18:00:00,2025-04-01 13:00:00
2025-04-02,ABEV3,-0.011171502061188221,0.002939603989943862,0.014111106051132083,0,8263,8263,-1,2020-09-25 18:00:00,2025-04-02 13:00:00
2025-04-03,ABEV3,-0.017931628972291946,0.0238038282841444,0.04173545725643635,0,8270,8270,-1,2020-09-25 18:00:00,2025-04-03 13:00:00
2025-04-04,ABEV3,0.03046814166009426,-0.009782902896404266,0.04025104455649853,0,8277,8277,-1,2020-09-25 18:00:00,2025-04-04 13:00:00
2025-04-07,ABEV3,-0.019388273358345032,-0.041403722018003464,0.022015448659658432,1,8284,8284,-1,2020-09-25 18:00:00,2025-04-07 13:00:00
2025-04-08,ABEV3,-0.015055248513817787,0.0029374922160059214,0.01799274072982371,0,8291,8291,-1,2020-09-25 18:00:00,2025-04-08 13:00:00
2025-04-09,ABEV3,-0.024422764778137207,0.026193805038928986,0.05061656981706619,0,8298,8298,-1,2020-09-25 18:00:00,2025-04-09 13:00:00
2025-04-10,ABEV3,-0.012932204641401768,-0.0019398003350943327,0.010992404306307435,1,8305,8305,-1,2020-09-25 18:00:00,2025-04-10 13:00:00
2025-04-11,ABEV3,-0.015425493009388447,-0.006588563323020935,0.008836929686367512,1,8312,8312,-1,2020-09-25 18:00:00,2025-04-11 13:00:00
2025-04-14,ABEV3,-0.00482369726523757,0.01126099657267332,0.01608469383791089,0,8319,8319,-1,2020-09-25 18:00:00,2025-04-14 13:00:00
2025-04-15,ABEV3,-0.010071732103824615,0.005876133684068918,0.015947865787893534,0,8326,8326,-1,2020-09-25 18:00:00,2025-04-15 13:00:00
2025-04-16,ABEV3,0.011333595030009747,0.01060192845761776,0.0007316665723919868,1,8333,8333,-1,2020-09-25 18:00:00,2025-04-16 13:00:00
2025-04-17,ABEV3,0.019253714010119438,0.00803354475647211,0.011220169253647327,1,8340,8340,-1,2020-09-25 18:00:00,2025-04-17 13:00:00
2025-04-22,ABEV3,-0.001998766791075468,0.006055932492017746,0.008054699283093214,0,8347,8347,-1,2020-09-25 18:00:00,2025-04-22 13:00:00
2025-04-23,ABEV3,-0.005545272957533598,0.004544209223240614,0.010089482180774212,0,8354,8354,-1,2020-09-25 18:00:00,2025-04-23 13:00:00
2025-04-24,ABEV3,0.017252041026949883,-0.005008377600461245,0.022260418627411127,0,8361,8361,-1,2020-09-25 18:00:00,2025-04-24 13:00:00
2025-04-25,ABEV3,-0.015255782753229141,-0.00042730115819722414,0.014828481595031917,1,8368,8368,-1,2020-09-25 18:00:00,2025-04-25 13:00:00
2025-04-28,ABEV3,-0.0032909049186855555,0.009890176355838776,0.013181081274524331,0,8375,8375,-1,2020-09-25 18:00:00,2025-04-28 13:00:00
2025-04-29,ABEV3,0.010068647563457489,0.019430939108133316,0.009362291544675827,1,8382,8382,-1,2020-09-25 18:00:00,2025-04-29 13:00:00
2025-04-30,ABEV3,-0.0060698408633470535,0.008674836717545986,0.01474467758089304,0,8389,8389,-1,2020-09-25 18:00:00,2025-04-30 13:00:00
2025-05-02,ABEV3,-0.011227867566049099,-0.02513434737920761,0.013906479813158512,1,8396,8396,-1,2020-09-25 18:00:00,2025-05-02 13:00:00
2025-05-05,ABEV3,0.012957706116139889,-0.012077384628355503,0.025035090744495392,0,8403,8403,-1,2020-09-25 18:00:00,2025-05-05 13:00:00
2025-05-06,ABEV3,-0.018068566918373108,0.006409469526261091,0.0244780364446342,0,8410,8410,-1,2020-09-25 18:00:00,2025-05-06 13:00:00
2025-05-07,ABEV3,-0.011680694296956062,0.0037441295571625233,0.015424823854118586,0,8417,8417,-1,2020-09-25 18:00:00,2025-05-07 13:00:00
2025-05-08,ABEV3,-0.02196013182401657,0.026356130838394165,0.048316262662410736,0,8424,8424,-1,2020-09-25 18:00:00,2025-05-08 13:00:00
2025-05-09,ABEV3,0.025078920647501945,-0.022394683212041855,0.0474736038595438,0,8431,8431,-1,2020-09-25 18:00:00,2025-05-09 13:00:00
2025-05-12,ABEV3,-0.010488494299352169,-0.005873615387827158,0.004614878911525011,1,8438,8438,-1,2020-09-25 18:00:00,2025-05-12 13:00:00
2025-05-13,ABEV3,-0.02532040700316429,0.0011755051091313362,0.026495912112295628,0,8445,8445,-1,2020-09-25 18:00:00,2025-05-13 13:00:00
2025-05-14,ABEV3,-0.022217879071831703,0.001057664630934596,0.0232755437027663,0,8452,8452,-1,2020-09-25 18:00:00,2025-05-14 13:00:00
2025-05-15,ABEV3,-0.0027749864384531975,0.008094364777207375,0.010869351215660572,0,8459,8459,-1,2020-09-25 18:00:00,2025-05-15 13:00:00
2025-05-16,ABEV3,-0.0034385942853987217,-0.002707952633500099,0.0007306416518986225,1,8466,8466,-1,2020-09-25 18:00:00,2025-05-16 13:00:00
2025-05-19,ABEV3,-0.006178954616189003,0.008438287302851677,0.01461724191904068,0,8473,8473,-1,2020-09-25 18:00:00,2025-05-19 13:00:00
2025-05-20,ABEV3,0.012296074070036411,-0.010315807536244392,0.022611881606280804,0,8480,8480,-1,2020-09-25 18:00:00,2025-05-20 13:00:00
2025-05-21,ABEV3,-0.02087302692234516,-0.00628008134663105,0.014592945575714111,1,8487,8487,-1,2020-09-25 18:00:00,2025-05-21 13:00:00
2025-05-22,ABEV3,0.0033715919125825167,-0.0023439181968569756,0.005715510109439492,0,8494,8494,-1,2020-09-25 18:00:00,2025-05-22 13:00:00
2025-05-23,ABEV3,0.011913919821381569,0.0014549957122653723,0.010458924109116197,1,8501,8501,-1,2020-09-25 18:00:00,2025-05-23 13:00:00
2025-05-26,ABEV3,-0.012995094992220402,-0.0005799528444185853,0.012415142147801816,1,8508,8508,-1,2020-09-25 18:00:00,2025-05-26 13:00:00
2025-05-27,ABEV3,0.01670895516872406,0.00510111078619957,0.01160784438252449,1,8515,8515,-1,2020-09-25 18:00:00,2025-05-27 13:00:00
