max_context_hours,days_tested,hit_ratio,mae,rmse,context_hours_used_mean
168,166,0.5,0.018506066841409957,0.022767214010865334,168.0
336,166,0.463855421686747,0.01832016315647816,0.023202961854030955,336.0
720,166,0.4819277108433735,0.018272659177499182,0.022334721038388707,720.0
1124,166,0.4578313253012048,0.017516986356314598,0.021594193858018907,1124.0
2048,166,0.5,0.01737627092677348,0.02173251818521719,2048.0
