date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-30,SUZB3,52.133213,0,0.009363252,0,1
2024-09-02,SUZB3,52.218525,0,0.00704353,0,1
2024-09-03,SUZB3,51.744587,0,0.02089835,0,1
2024-09-04,SUZB3,52.49341,1,0.008813595,0,0
2024-09-05,SUZB3,52.39862,1,0.024015697,0,0
2024-09-06,SUZB3,51.536053,1,0.014824857,0,0
2024-09-09,SUZB3,51.299084,0,0.007348076,0,1
2024-09-10,SUZB3,52.322792,0,0.03156227,0,1
2024-09-11,SUZB3,52.24696,0,0.115403965,0,1
2024-09-12,SUZB3,51.555008,0,0.016669987,0,1
2024-09-13,SUZB3,51.460224,0,0.000798956,0,1
2024-09-16,SUZB3,50.25642,0,0.017389258,0,1
2024-09-17,SUZB3,50.51235,1,0.022217957,0,0
2024-09-18,SUZB3,49.85831,1,0.05371671,0,0
2024-09-19,SUZB3,49.829876,1,0.013025908,0,0
2024-09-20,SUZB3,49.611862,1,0.07963023,0,0
2024-09-23,SUZB3,48.95783,1,0.03577238,0,0
2024-09-24,SUZB3,50.24694,1,0.010928799,0,0
2024-09-25,SUZB3,49.441246,1,0.01160756,0,0
2024-09-26,SUZB3,51.41283,1,0.0024499635,0,0
2024-09-27,SUZB3,51.545532,1,0.16581108,0,0
2024-09-30,SUZB3,51.6024,1,0.033822227,0,0
2024-10-01,SUZB3,52.02895,1,0.012592826,0,0
2024-10-02,SUZB3,52.228,1,0.038060248,0,0
2024-10-03,SUZB3,51.99103,1,0.0053555435,0,0
2024-10-04,SUZB3,52.84412,0,0.008436368,0,1
2024-10-07,SUZB3,52.88204,0,0.0062429775,0,1
2024-10-08,SUZB3,52.79673,0,0.00811243,0,1
2024-10-09,SUZB3,51.545532,0,0.058168903,0,1
2024-10-10,SUZB3,51.308563,0,0.9975769,1,0
2024-10-11,SUZB3,51.374912,1,0.99995875,1,1
2024-10-14,SUZB3,51.83937,1,0.9999739,1,1
2024-10-15,SUZB3,51.867813,1,0.999691,1,1
2024-10-16,SUZB3,51.621365,1,0.9927072,1,1
2024-10-17,SUZB3,52.142693,1,0.9990614,1,1
2024-10-18,SUZB3,52.863083,1,0.99996436,1,1
2024-10-21,SUZB3,53.33702,1,0.9999815,1,1
2024-10-22,SUZB3,54.57874,1,0.999982,1,1
2024-10-23,SUZB3,54.5503,1,0.9999968,1,1
2024-10-24,SUZB3,54.408123,1,0.99891984,1,1
2024-10-25,SUZB3,55.924725,1,0.9999995,1,1
2024-10-28,SUZB3,56.247,1,1.0,1,1
2024-10-29,SUZB3,56.455536,1,0.9999982,1,1
2024-10-30,SUZB3,57.24227,1,0.9999951,1,1
2024-10-31,SUZB3,56.654587,0,0.9999976,1,0
2024-11-01,SUZB3,56.863125,0,0.9999943,1,0
2024-11-04,SUZB3,56.844162,0,1.0,1,0
2024-11-05,SUZB3,57.34654,0,0.9999975,1,0
2024-11-06,SUZB3,56.398663,1,0.9999896,1,1
2024-11-07,SUZB3,55.820454,1,0.99988854,1,1
2024-11-08,SUZB3,55.356,1,0.9999994,1,1
2024-11-11,SUZB3,55.13798,1,0.9999999,1,1
2024-11-12,SUZB3,56.284916,1,0.9999993,1,1
2024-11-13,SUZB3,56.63563,1,1.0,1,1
2024-11-14,SUZB3,57.393932,1,0.99738365,1,1
2024-11-18,SUZB3,57.55507,0,0.604399,1,0
2024-11-19,SUZB3,57.25175,0,0.02448557,0,1
2024-11-21,SUZB3,57.621426,0,0.9370687,1,0
2024-11-22,SUZB3,57.536114,1,0.9580642,1,1
2024-11-25,SUZB3,56.777813,1,0.49749634,0,0
2024-11-26,SUZB3,56.209087,1,0.009480361,0,0
2024-11-27,SUZB3,56.626156,1,0.016618976,0,0
