view_date,capital_bl_real_brl,capital_selic_brl,ganho_bl_real_pct,ganho_selic_pct,mode,ret_mkv,capital_mkv,capital_mkv_brl,ganho_mkv_pct,ret_bl_real
2025-01-03,98053.81084367746,100055.47647074929,-1.9461891563225309,0.0554764707492827,daily,-0.017971589497802243,0.9820284105021978,98202.84105021978,-1.7971589497802198,
2025-01-06,99463.00139453963,100110.98371788664,-0.5369986054603593,0.1109837178866257,daily,0.011508637898864894,0.9933302198850654,99333.02198850655,-0.6669780114934576,0.014371604109388203
2025-01-07,100110.88222793,100166.5217584857,0.1108822279300092,0.1665217584857048,daily,0.009893091984867985,1.0031573271217376,100315.73271217376,0.3157327121737552,0.006513787280763905
2025-01-08,99055.08841052702,100222.09060962964,-0.9449115894729744,0.2220906096296326,daily,-0.01109011196178864,0.9920322000486689,99203.22000486689,-0.7967799951331123,-0.010546244263427429
2025-01-09,98961.76056060112,100277.690288411,-1.038239439398858,0.2776902884110033,daily,-0.0015683466013838524,0.9904763497192592,99047.63497192593,-0.9523650280740759,-0.0009421812793615203
2025-01-10,98017.75347688251,100333.32081193192,-1.9822465231174924,0.3333208119319142,daily,-0.00881429062246768,0.9817460033181528,98174.60033181528,-1.825399668184724,-0.009539109635590237
2025-01-13,98362.63381463966,100388.98219730392,-1.637366185360345,0.388982197303922,daily,0.0035465280135288163,0.9852277930210904,98522.77930210905,-1.4772206978909574,0.003518549706798657
2025-01-14,99265.00321389902,100444.67446164812,-0.7349967861009721,0.4446744616481091,daily,0.008294065129569917,0.9933993365038698,99339.93365038699,-0.6600663496130199,0.009173904401135191
2025-01-15,101617.659670836,100500.39762209504,1.6176596708359805,0.500397622095039,daily,0.026812657290412427,1.020035012466071,102003.5012466071,2.003501246607109,0.023700764426183518
2025-01-16,100254.39350148696,100556.15169578478,0.2543935014869491,0.556151695784779,daily,-0.006617963247545844,1.0132844582423608,101328.44582423609,1.3284458242360797,-0.01341564225908154
2025-01-17,101470.24832915484,100611.9366998669,1.470248329154833,0.6119366998668996,daily,0.005900211713123314,1.019263051071608,101926.3051071608,1.9263051071608084,0.012127696205651572
2025-01-20,101447.62346182016,100667.7526515005,1.4476234618201689,0.6677526515004972,daily,0.0017824415100781144,1.0210798278435271,102107.98278435272,2.1079827843527132,-0.0002229704539727928
2025-01-21,101972.14220965124,100723.59956785417,1.9721422096512509,0.7235995678541718,daily,0.005034813544423967,1.026220774390692,102622.0774390692,2.6220774390691926,0.005170340417373076
2025-01-22,101461.91686248724,100779.47746610604,1.4619168624872447,0.7794774661060488,daily,-0.008943203519101585,1.017043073149786,101704.30731497859,1.7043073149785926,-0.005003575840497598
2025-01-23,101263.96762085076,100835.38636344385,1.26396762085077,0.8353863634438241,daily,0.0017718099845825514,1.0188450802215432,101884.50802215432,1.8845080221543187,-0.001950970844605271
2025-01-24,100798.82428747715,100891.32627706468,0.7988242874771512,0.8913262770646746,daily,-0.003364451600143004,1.015417225261094,101541.7225261094,1.5417225261094014,-0.004593374566510988
2025-01-27,103843.9987049634,100947.29722417532,3.843998704963414,0.9472972241753252,daily,0.02605831585399372,1.0418772880405336,104187.72880405336,4.187728804053359,0.030210416034233134
2025-01-28,103522.13564502443,101003.2992219921,3.522135645024438,1.003299221992093,daily,-0.005109913518871579,1.03655338520137,103655.338520137,3.655338520136997,-0.0030994863829677533
2025-01-29,102904.0055919383,101059.3322877408,2.904005591938308,1.0593322877407996,daily,-0.005148391644005535,1.0312168024144337,103121.68024144338,3.1216802414433698,-0.005970994022048481
2025-01-30,105701.46551819085,101115.39643865684,5.70146551819084,1.115396438656835,daily,0.02828066453090248,1.0603802988621462,106038.02988621463,6.038029886214624,0.02718514124071869
2025-01-31,105055.45681003985,101171.49169198514,5.055456810039827,1.171491691985138,daily,-0.00513288006518835,1.0549374939645983,105493.74939645984,5.493749396459835,-0.006111634356099072
2025-02-03,104798.59696305046,101227.61806498026,4.79859696305045,1.2276180649802626,daily,-0.0037987942734426516,1.0509300034536857,105093.00034536856,5.09300034536857,-0.002444992909353072
2025-02-04,104964.08682597808,101283.77557490628,4.964086825978065,1.2837755749062874,daily,-0.0015313308195832546,1.0493206819501724,104932.06819501723,4.932068195017236,0.001579122886406381
2025-02-05,105624.58862292884,101339.96423903688,5.624588622928828,1.3399642390368616,daily,0.007728666941067089,1.0574305320153385,105743.05320153385,5.743053201533854,0.0062926455792999825
2025-02-06,106554.15502684833,101396.18407465528,6.554155026848307,1.3961840746552712,daily,0.009172577146431715,1.0671298951472417,106712.98951472416,6.712989514724166,0.008800662952051397
2025-02-07,105510.13344969558,101452.43509905432,5.510133449695576,1.4524350990543278,daily,-0.013217086390713595,1.0530255471329675,105302.55471329675,5.302554713296748,-0.009798037222384037
2025-02-10,106272.80735363971,101508.71732953648,6.272807353639731,1.5087173295364795,daily,0.006927498501112206,1.0603203800323642,106032.03800323642,6.032038003236417,0.00722844222643082
2025-02-11,106412.48083164502,101565.03078341376,6.412480831645029,1.5650307834137678,daily,0.007442997338403102,1.0682123417987996,106821.23417987996,6.821234179879965,0.0013142917881197036
2025-02-12,105014.27510634428,101621.37547800785,5.01427510634429,1.6213754780078249,daily,-0.02001173754552028,1.0468355567718364,104683.55567718364,4.683555677183637,-0.013139489976864982
2025-02-13,105619.74314824512,101677.75143064988,5.6197431482451154,1.6777514306498986,daily,0.00406636097540416,1.0510923680275588,105109.23680275588,5.109236802755879,0.005765578453859721
2025-02-14,108055.3178176481,101734.15865868086,8.055317817648099,1.734158658680851,daily,0.025690245302800334,1.078095188798088,107809.5188798088,7.809518879808808,0.023059842760500437
2025-02-17,108482.01811276788,101790.59717945116,8.482018112767875,1.7905971794511588,daily,0.001966110218131689,1.0802148427649025,108021.48427649026,8.021484276490254,0.003948906020894594
2025-02-18,108698.65987717776,101847.06701032094,8.69865987717775,1.8470670103209352,daily,0.0026469367566793753,1.0830741031373277,108307.41031373276,8.307410313732767,0.0019970292605053785
2025-02-19,107541.6107232046,101903.56816865991,7.541610723204606,1.903568168659908,daily,-0.011824308527669093,1.0702675007835034,107026.75007835033,7.026750078350341,-0.01064455767238115
2025-02-20,106760.78207108803,101960.10067184748,6.760782071088034,1.9601006718474645,daily,0.0016304243623742392,1.0720124909910382,107201.24909910382,7.201249099103824,-0.007260711894359728
2025-02-21,106665.7571365642,102016.66453727263,6.665757136564188,2.016664537272628,daily,0.00031053922163819573,1.072345392915577,107234.53929155771,7.234539291557707,-0.0008900734209735806
2025-02-24,105453.52866217175,102073.25978233403,5.453528662171747,2.073259782334036,daily,-0.00930473325233634,1.0623675050801258,106236.75050801258,6.2367505080125785,-0.011364738852792655
2025-02-25,105669.161997498,102129.88642444005,5.669161997498007,2.12988642444003,daily,0.006602187658847325,1.0693814547113263,106938.14547113262,6.9381454711326285,0.002044818585607011
2025-02-26,104539.9555699904,102186.54448100856,4.539955569990406,2.186544481008568,daily,0.004245429923137612,1.0739214387384062,107392.14387384061,7.3921438738406176,-0.010686243802466522
