mode,final_bl_real_brl,final_markowitz_brl,final_selic_brl,sharpe_bl_real,sharpe_markowitz,mdd_bl_real,mdd_markowitz,dias
daily,143750.46516643793,150913.4553541877,114808.81833680556,2.4816735809489643,2.5067444038622235,-0.13283830235245975,-0.13688158829902008,249
monthly,139268.69347678177,149300.4317373577,114808.81833680556,2.2598946173989387,2.52770298936038,-0.12267862825027065,-0.11343661284277595,249
weekly,154174.78056603743,146984.94050560152,114808.81833680556,2.8487222143184416,2.3702752468356034,-0.11533601597852494,-0.13817752632971836,249
