view_date,mode,VALE3.SA_target,VALE3.SA_exec,BBAS3.SA_target,BBAS3.SA_exec,ITUB4.SA_target,ITUB4.SA_exec,BBDC4.SA_target,BBDC4.SA_exec,ABEV3.SA_target,ABEV3.SA_exec,rebalance_flag,gross_target,gross_exec
2025-01-03,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-01-06,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1.0,1.0
2025-01-07,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-01-08,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-01-09,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-01-10,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-01-13,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1.0,1.0
2025-01-14,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-01-15,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-01-16,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-01-17,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-01-20,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1.0,1.0
2025-01-21,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-01-22,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-01-23,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-01-24,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-01-27,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1.0,1.0
2025-01-28,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-01-29,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-01-30,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-01-31,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-02-03,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1.0,1.0
2025-02-04,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-02-05,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-02-06,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-02-07,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-02-10,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1.0,1.0
2025-02-11,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-02-12,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
2025-02-13,weekly,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,1.0,1.0
