ticker,n_treino,n_teste,acuracia_pct,precisao_pct,recall_pct,f1_pct,auc_roc_pct,auc_cv_optuna,taxa_alpha_pos,horizon_dias,n_features,n_rounds,lr,max_depth
ITUB4,1591,398,61.05527638190955,62.98701298701299,49.743589743589745,55.587392550143264,64.91852974611595,0.5872,48.99497487437186,1,54,150,0.0908,6
SUZB3,1591,398,56.03015075376885,51.35135135135135,62.98342541436463,56.575682382134,56.99773404282404,0.5441,45.47738693467337,1,54,51,0.11,5
BBAS3,1591,398,56.03015075376885,54.123711340206185,54.973821989528794,54.54545454545454,56.97700887776007,0.553,47.98994974874372,1,54,3,0.1632,5
CMIG4,1591,398,56.28140703517588,58.291457286432156,56.038647342995176,57.14285714285714,56.9365404557756,0.5417,52.01005025125628,1,54,15,0.1511,4
MGLU3,1591,398,54.020100502512555,51.53061224489795,53.43915343915344,52.467532467532465,56.91628060049112,0.5393,47.48743718592965,1,54,4,0.0466,6
B3SA3,1591,398,53.517587939698494,52.97029702970298,54.314720812182735,53.63408521303258,54.956183549258775,0.5619,49.497487437185924,1,54,3,0.0439,5
WEGE3,1591,398,53.015075376884425,55.434782608695656,49.275362318840585,52.17391304347826,54.61972329716468,0.5407,52.01005025125628,1,54,25,0.186,7
PRIO3,1591,398,51.507537688442206,50.495049504950494,52.307692307692314,51.385390428211586,52.459264873057975,0.5667,48.99497487437186,1,54,3,0.1921,5
SBSP3,1591,398,50.753768844221106,50.0,57.14285714285714,53.333333333333336,51.92084259446352,0.5454,49.246231155778894,1,54,1,0.0154,6
RAIL3,1591,398,53.266331658291456,47.486033519553075,48.0225988700565,47.752808988764045,51.871309149474655,0.559,44.472361809045225,1,54,1,0.01,6
GGBR4,1591,398,49.246231155778894,46.30350194552529,65.02732240437157,54.090909090909086,51.60630321514805,0.5497,45.97989949748744,1,54,1,0.0989,4
SANB11,1591,398,51.005025125628144,47.096774193548384,39.247311827956985,42.81524926686217,51.58500710083182,0.5712,46.733668341708544,1,54,1,0.0243,4
RADL3,1591,398,50.502512562814076,47.30290456431535,61.95652173913043,53.64705882352941,51.27996749288908,0.5577,46.231155778894475,1,54,70,0.0708,3
LREN3,1591,398,48.99497487437186,48.148148148148145,32.82828282828283,39.03903903903904,50.94318181818181,0.5552,49.74874371859296,1,54,5,0.0307,7
BBDC4,1591,398,50.502512562814076,49.2,63.730569948186535,55.53047404063205,50.67736635915582,0.5607,48.49246231155779,1,54,1,0.0177,7
VALE3,1591,398,47.23618090452261,47.417840375586856,50.753768844221106,49.029126213592235,49.93560768667458,0.5373,50.0,1,54,36,0.0704,4
PETR3,1591,398,49.74874371859296,51.74825174825175,36.09756097560975,42.5287356321839,49.56906356628333,0.531,51.507537688442206,1,54,1,0.1206,3
PETR4,1591,398,48.743718592964825,50.0,36.27450980392157,42.04545454545455,49.34303618354558,0.5474,51.256281407035175,1,54,1,0.0243,7
EQTL3,1591,398,46.984924623115575,45.14767932489451,56.91489361702128,50.35294117647059,47.00861195542047,0.5481,47.23618090452261,1,54,2,0.0327,6
ABEV3,1591,398,45.97989949748744,44.07894736842105,34.01015228426396,38.39541547277937,46.54014192994418,0.5603,49.497487437185924,1,54,4,0.0111,7
